"sys_loadingid","sys_cdc","sys_checksum","kundeid","vereinspartnerid","vorname","name","geschlecht","geburtsdatum","telefon","mobil","email","kreditkarte","gueltigbis","kkfirma"
1,I,0xcb7e94e6b0ed590637478ea05682cf9d04bcf1841f61466a5258c52622f7222f,"276",GlückAuf,Gerdhild,Doppelpunkt,w,2013-07-26,,"0165/6396952",gerdhild_13@hoster.none,"0000 1769 4900 0000","05/15",VISA
1,I,0xb4a3e0de86ff225952cefa990ad5966af3b02c328074a3c0a57485b9831fd655,"271",,Ludolf,Olszewski,m,1937-12-05,,"0172/6058936",ludolf.olszewski@goggle-mail.none,"0000 3581 0700 2400","08/09",Mastercard
1,I,0x98295a3c89d1f9fb765446b24f34b40214cfbb030dce4dd80efddce9e31e9575,"147",,Achim,Reineke,m,1986-03-13,,"0161/3220482",achim.1986@bestmail.none,"0000 8943 0609 6700","06/20",Mastercard
1,I,0x1abba2e0bfcc76d3dedc8ad48f7158e01ea386df3bb6de1a1c860aa6ad415d8b,"260",,Beat,Engemann,m,1981-09-27,"03386/58526402","0175/2202036",beat-engemann@funmail.none,"0000 3352 0604 1000","08/19",Mastercard
1,I,0x4fb79be178640be6d449462052b655ac9fd7799cfc8318e73cf2ff3f4a725c88,"244",Druff1848,Sergius,Vega,m,1928-11-10,"06861/37225719","0174/5550486",s-1928@justmail.none,"0000 6981 0700 2400","12/02",American Express
1,I,0x002fda2292bcc72d1171eb0feaa430118cf67b40ead19f7951f0b9cc83462a93,"8",WochenendGLück,Karin,Hübler,w,1970-04-17,"0671/21250949","0177/3624772",karin-1970@xyz.none,"0000 6429 2400 2400","09/12",Mastercard
1,I,0xed1a885b6d59ac634a6b57843a445f74f9c1b01ff3f1613018d765a2e37860f3,"233",VolleRose,Gertraude,Maul,,1966-01-22,"02662/53721352",,gertraude.maul@justmail.none,"0000 8163 0500 0000","12/09",American Express
1,I,0x7a567d8665e635a9c7abfb3558a07f4f276e9d286dff0f683312043458d1f842,"230",,Carolin,Hoppen,w,1991-05-07,"02426/55749252","0155/2701099",c.hoppen@justmail.none,"0000 9170 1696 1400","08/16",Mastercard
1,I,0x3ab9735b90d9b1ccb06faf574cac312c8b9baa996567decfa6cee8b9cec6c7e8,"172",GlückAuf,Ludwig,Klingelhöfer,,2015-05-12,,"0173/5162584",ludwig.klingelhoefer@hoster.none,"0000 8246 0600 4000","12/92",American Express
1,I,0x64f962203821abd8ba5619ec740a727ad2aa493b1c4a05a715c2b3a9ce5ce938,"101",Druff1848,Anouschka,Schwegmann,d,1975-12-08,"06361/36776096","0164/2432738",anouschka.schwegmann@mymail.none,"0000 6071 0500 0000","12/18",American Express
1,I,0xc4071ce4df275459059c08ac97341f648f3412ef281c0828d5a2e5d5171ddbfe,"62",Druff1848,Horst,Manning,d,1950-04-15,"06550/10492762","0168/7214764",horst_manning@domain.none,"0000 2730 1308 0000","11/17",American Express
1,I,0xf3359a61b0430c9a9c9966145e5cbb91db02e4d09e7c1df5f708fb3c6ea932f5,"143",,Karleugen,Perry,,1917-08-27,"0511/70719831",,karleugen17@email.none,"0000 6150 2304 0000","12/88",American Express
1,I,0xf7cbd34e7fc1ae2a150017d624f73b94037d967515e8ff04448ddc0d5af41d87,"20",,Valerie,Rolf,w,1990-08-12,"07345/60576343",,valerie-rolf@kitty.none,"0000 4820 7300 0700","10/97",Mastercard
1,I,0x34a53b2c2f5de4160112d937fd9175d6f9d24bcc493431eff83fb89c6da997a2,"285",VolleRose,Marcus,Hachmeister,,1927-07-22,"04532/21308925","0178/3706843",mhachmeister@retromail.none,"0000 8825 7500 0100","02/18",VISA
1,I,0x80a41726b96cffb908bf794fa2e29846fedcfd58104a1aad1f78ed2d403a7049,"16",GlückAuf,Alinde,Rühling,w,1975-03-10,"05905/19958701","0150/3217238",a-ruehling@bestmail.none,"0000 1551 1519 1900","07/01",Mastercard
1,I,0x73a0ec85447cdf216d6dac5f44e2c137b398eb432de83e758e060bf5a6402a83,"246",VolleRose,Clivia,Pinter,d,1907-03-09,"06274/94732093",,clivia.pinter@private.none,"0000 7277 0621 3900","02/20",VISA
1,I,0xd7a7a1fe9fac9529d26feb92f4b797ab1d4975f5b7bdaac8038e33b10f992d49,"194",VolleRose,Kurd,Tiemann,,2002-03-19,"0421/15547423","0152/2727573",k.tiemann@email.none,"0000 8821 6900 2000","10/08",Mastercard
1,I,0x962afb366979697567f975d1093ac7bc89fdb91dffa6c9cf793242bdf283f170,"237",GlückAuf,Nathanael,Ebersbach,m,1950-10-27,"09408/94146966","0163/8487760",n1950@open-mail.none,"0000 3874 0500 0000","02/18",VISA
1,I,0x6da340d8b3e241c3f9c3cf2ceb7d76d5d64c50fb16e20e2d786dcaf77fc83059,"226",Ruhrmorig,Rico,Cunningham,m,1912-11-04,"0621/59106356",,rico-1912@goggle-mail.none,"0000 2820 0300 0000","06/15",Mastercard
1,I,0xdb18bb7b6ac800fa0f8b28c12927e7897ec2baf0b4ca18751e652e7e95856857,"234",,Eckhold,Pinter,m,1928-06-03,"02681/59591009","0151/2767052",eckhold_pinter@live-mail.none,"0000 1570 1694 6500","02/93",VISA
1,I,0x9daee33baffae4b5a6eb1d58e283881624a698e73ee5fef3438de36d6cd651fe,"163",,Margret,Schnoor,,1918-11-10,,"0154/5528051",margret.schnoor@private.none,"0000 8784 0800 0000","07/08",Mastercard
1,I,0x86d627bcba0e67bd20063e6c026a8269f19d8da921335614c0705285a85e9c73,"190",WochenendGLück,Elke,Olbrich,w,1970-04-29,,"0157/5520925",elke.olbrich@kitty.none,"0000 7272 0691 1300","10/20",Mastercard
1,I,0xffda9fb61fc60008f8297fdf8e5bd38cfa23e6fb126d270d9a0fb16d3d36b755,"247",,Traudl,Vaughn,,1941-04-05,"07161/7414254","0170/2160981",tvaughn@open-mail.none,"0000 9525 6501 0600","11/16",American Express
1,I,0x82354ddfb83379a08143e671ca39b386c8b5807d1f8bcb2de302e5fa7fda5992,"187",Ruhrmorig,Hansjürgen,Dirks,m,1985-07-22,,"0179/8784231",hansjuergen_dirks@goggle-mail.none,"0000 6261 2612 1300","11/20",American Express
1,I,0x52883658e072f6cb569f65ad1b3a9cd2ebfc886bac23c74d1c6aa3525bcad8e2,"125",WochenendGLück,Eileen,Poppinga,w,1962-02-19,"07531/8313514",,eileenpoppinga@anymail.none,"0000 4558 5501 3000","10/13",Mastercard
1,I,0xdbb40ddbf9c056013b9469775d1f0d9507dfc40c9c11bd218945fa2724f355db,"183",,Sybil,Rosendahl,w,1979-04-07,"02685/81299487",,srosendahl@xyz.none,"0000 2170 2501 5000","03/12",VISA
1,I,0x74b1826368c9e1f51e06498daad2d5d8a7ce46868bc3bbce9402aed24db102b5,"23",Druff1848,Arnbert,Tietje,m,1988-09-19,"0591/59644531","0159/3358890",arnbert-1988@web.none,"0000 3428 0699 9400","11/09",American Express
1,I,0x9739c18f7bfa72375ba4e80541dd477759fbfe3cc95e15d9f19ec52367e70e61,"228",,Monika,Ruß,w,1936-03-15,"02741/42443750",,monika_36@anymail.none,"0000 2768 3915 0000","09/16",Mastercard
1,I,0xe1379a3abb24d937df0287b26d69ee890e7ad72b4e18c3afb9c9e6687c8ac7c6,"281",WochenendGLück,Otger,Rennert,m,1958-06-26,,"0170/2976998",otger-rennert@validmail.none,"0000 4858 5601 0300","09/85",Mastercard
1,I,0xa10ecbe93758d07d85aee20f9cbe4eb88c99cc2297dad27a14c4db6c04009970,"141",,Robin,Zoeller,m,1979-05-18,,"0163/9813343",r-zoeller@net-mail.none,"0000 0585 0550 0000","11/15",American Express
1,I,0xa62d2ce6de1f7381a81d0713ec79670443c2344f21e0252cddd83d8b2a83c949,"256",,Jeannine,Hofmann,w,1931-11-23,"08639/63486674","0175/2085713",jeannine.1931@anymail.none,"0000 0729 1656 8100","09/17",Mastercard
1,I,0x574ad072d10f39b6e7244efb6355a0a92b683f137b9fbd86fc77a8ee356ecc3a,"72",,Magdalene,Fritsche,w,2020-12-25,,"0172/8658234",magdalene.20@goggle-mail.none,"0000 7376 3515 6000","12/17",American Express
1,I,0x363f16bb802bf342bdb6e09da41f6114128163430671f7062e9c31ffe2db4d56,"59",,Karlfried,Bertram,m,1946-09-16,,"0177/1740225",karlfriedbertram@spam-mail.none,"0000 3747 2700 2900","08/03",Mastercard
1,I,0xb7ac24d00af7739eb379e84b5ca10c1b9ce6ce5dff14506771a948672d588566,"299",,Sybilla,Goltz,,2005-09-06,"02692/75091599","0164/1787899",s.05@private.none,"0000 1570 0932 0000","07/11",Mastercard
1,I,0x05f049f84d26bc3a7a9cfe1a4696445f8cc22d83077a7320954147ec37e2402c,"122",Ruhrmorig,Jessica,Reißig,w,2009-06-22,"04305/43834509","0170/8475308",j.reissig@validmail.none,"0000 7636 0800 8000","08/05",Mastercard
1,I,0xe048a911c7d9ba0426f5b99908d741627f63b40bc60604a2ee30a03dca496e25,"197",,Ingelore,Marktschreier,,1902-03-25,,"0166/6001650",ingelore02@open-mail.none,"0000 7268 4522 9000","06/96",Mastercard
1,I,0xfae29a741635387f9a5fa88fe5abdb65e08900cb069b6a40ab9ba35aa84bbd1d,"100",,Friedlieb,Jimenez,m,1936-07-13,"06554/48617409",,friedlieb.jimenez@net-mail.none,"0000 5766 2914 0000","06/99",Mastercard
1,I,0x34e6e62ea16ab57d655382c9231a097d45f871e3be8dcdcd8965a8d3679cc8ec,"106",,Rosely,Eggers,w,1974-01-18,"06771/25012286","0154/7614104",rosely_1974@quickmail.none,"0000 5720 0400 0000","02/83",VISA
1,I,0xa34e07edbd100e905cd288a7ba37c7c6c067e3d713e062f95fa2291b5a31c437,"171",,Eileen,Köhler,w,1976-10-03,"0481/60166219",,eileenkoehler@private.none,"0000 6628 0906 3300","11/13",American Express
1,I,0x62b8bbee3e091978ed0466872330e865c8b6738a2cfeb92762fee3a780ba0114,"84",Blaetterglueck,Wolfgard,Gabel,w,1902-06-05,"04281/7179799","0160/5921773",wolfgard-gabel@anymail.none,"0000 2657 0928 0000","09/20",Mastercard
1,I,0x251444af25a51f95a11bf5d8d84a60f1870cee692b1d8e8fbe3ef4e9d48fc340,"113",,Lotta,Wüstefeld,w,1964-01-08,,,l_wuestefeld@trashmail.none,"0000 7547 2601 2100","11/14",American Express
1,I,0xe4e5e43e524b400875661140340ef4504b31ac4c023827486ad13451bd3aac78,"275",,Bertolt,Häußermann,,2004-08-11,"05192/42387229","0167/7320037",b.haeussermann@spam-mail.none,"0000 2386 0101 1100","04/84",VISA
1,I,0xcb7ca83a764c4348af6f3c1b4e480a8ea62e9ed9a32f4ea0491c818532bc57f4,"196",,Leongard,Kunzmann,w,2017-06-30,"05383/3869166","0169/8913694",lkunzmann@private.none,"0000 7350 2101 3900","10/07",Mastercard
1,I,0x3013c32f0756a2c40e230102a4e3a2e627dfa5470649fe0a9b10e24bc1d4592a,"4",,Siegfried,Wolk,m,2020-05-17,"04441/45086066","0167/6560685",siegfriedwolk@funmail.none,"0000 3966 0700 2400","09/18",Mastercard
1,I,0x8fadec057654839a4d7f365e5c18c64fcefa4188e60f2ee6584034e6ad7c6431,"205",Druff1848,Hanfried,Zeiske,m,1959-08-25,"05182/72351912","0156/9613255",h-zeiske@validmail.none,"0000 2526 0624 3300","08/19",Mastercard
1,I,0x9b0791d7ce0c9e9b7250073edde96eb42679cff416336988e5c8236c7fc323d6,"34",WochenendGLück,Edelgard,Becherer,w,1924-08-31,"06201/9462228","0169/7161130",e-1924@domain.none,"0000 0365 0501 1000","04/19",VISA
1,I,0x18cbd773131ca35613e6a0670dcac58d42693ac757722a3c5e8ee345eee7b574,"287",,Rosmarie,Mages,,1953-02-04,"06634/29172594","0161/5134955",r_1953@kitty.none,"0000 6336 0400 8500","09/89",Mastercard
1,I,0xc0440464e50168fea036fe83815307455acbb0a1b7a8931d7196575bd006da38,"149",Blaetterglueck,Erk,Graber,m,2008-03-16,"06371/31100223","0179/9029001",egraber@trashmail.none,"0000 4815 0505 0000","03/09",VISA
1,I,0x49e7995e2a1f22c762a1dc1874053f3aa440430154b43e57268c2b832ab7d5bd,"259",VolleRose,Centa,Geißler,w,1938-04-13,"0202/22065973","0173/4916999",centageissler@kitty.none,"0000 6152 4109 0000","09/19",Mastercard
1,I,0xb0fdf0ff181f282e398e88ff4ae129091ef9c4dfd6133ca502b7cbfb5c91a915,"75",Druff1848,Griseldis,Fahrner,w,1934-11-19,"02691/12234171","0178/6842406",griseldis34@net-mail.none,"0000 0380 0800 0000","03/15",VISA
1,I,0xa4976119162924742f441baa9761712a0eb033c1605b80383a6d36057e26ee3d,"217",,Manuela,Stiehler,d,1974-05-28,"05952/92253501","0165/8553436",m.stiehler@goggle-mail.none,"0000 6074 2601 1000","10/14",Mastercard
1,I,0x9efe42fd5a242fd171399284b2145739e61d8fc1e83338c5efca6f054cb54774,"175",Blaetterglueck,Ingmar,Endler,m,1962-02-10,"06541/22731521","0158/5647872",i.endler@domain.none,"0000 0515 0800 0000","09/03",Mastercard
1,I,0x462cdd8120be39d956c3ba5434e0d8d692764e92cac03836ce436e7f30c9a970,"60",WochenendGLück,Vivien,Kokott,w,2015-03-13,,"0173/5817542",vivien.kokott@retromail.none,"0000 2576 0260 0000","12/17",American Express
1,I,0x941bea6a15fdf6521d3c443e3cf3a3d9c4c195a5a175e5ddc9eefc3e363ad2cc,"280",,Hildrun,Kiene,w,1976-07-24,"06053/80897733","0165/1408501",hildrun_kiene@company.none,"0000 7750 1209 0000","01/07",VISA
1,I,0x5307aafc23df1e3bf39740b94eb498e27a496d2f72bab4ad1146579ab1c09c03,"81",GlückAuf,Rosa,Wendler,w,2002-03-24,"0821/24195966",,rosa_wendler@retromail.none,"0000 7257 6500 1000","02/15",VISA
1,I,0x17540b8e6e0ed01a5bb5e32be63f6c4a758e17806e83cf8327235714649fbdab,"51",VolleRose,Evelore,Bruno,,1906-07-10,"03996/15982107","0154/6832603",evelore.bruno@anymail.none,"0000 9154 0616 5000","07/20",Mastercard
1,I,0x3d81aa9cc8ce953cfddc2e88e29d58382c8341d1c70393ca70b450645de8e758,"191",,Nikolaus,Gölz,m,1915-01-25,"07044/47166104","0156/2613451",nikolaus_goelz@hoster.none,"0000 2532 0500 0000","05/10",VISA
1,I,0xf856dbb1b5c7bc7ae4a78d981f8061e0c0f8d609831cb15c2fb88f7610c1538a,"50",,Elfy,Clayton,w,1941-02-03,"08641/3459764","0162/6542216",elfyclayton@open-mail.none,"0000 4754 0502 2000","03/20",VISA
1,I,0x817d960fadd7e052888eda9adaf837de6e4bcb000e323214c7501d1a47636f0e,"223",,Wolfram,Ammermann,,1971-07-24,"02365/17533849","0156/7533711",w.ammermann@open-mail.none,"0000 3974 1200 7100","05/14",VISA
1,I,0xaacf807585967c05cbeb66aed37abf861d764601e996c4f34e09e42cec7158dc,"293",,Leandra,Koplin,,1923-11-20,"04191/16139629","0160/1490461",lkoplin@domain.none,"0000 4228 0697 7300","01/13",VISA
1,I,0x2b86fdad2128567ed309951b41379160e54e592eaffbc724485495d6bfe475cf,"219",,Marfried,Speicher,m,1979-03-18,"0711/8420089","0169/5870081",m.1979@web.none,"0000 1566 0603 0000","10/94",Mastercard
1,I,0x7d333affbb02a8daa2d198a71580bd59bacd73b24c60f63eda72d09c28444930,"211",GlückAuf,Anje,Weingart,,1914-07-19,"06622/91028119","0167/1491436",aweingart@goggle-mail.none,"0000 2367 0512 0300","02/97",VISA
1,I,0x485bfd1cd135c53438f43c4cc30eb0e3421d5f4c18aa53e263f281d036648fe5,"250",GlückAuf,Margret,Reinig,w,1906-06-06,"09131/71483872","0153/4083348",margret.reinig@funmail.none,"0000 3128 0690 9200","11/12",American Express
1,I,0xf198809be01093e5d85eaee5b5e47f43f15e8a2d8c6ccd9816718ca6f80dd22d,"151",WochenendGLück,Rosely,Dann,w,2015-02-04,"03371/15260417","0152/8070120",rosely_dann@justmail.none,"0000 9185 5900 0000","11/14",American Express
1,I,0x36af7b973da28b1e38206f45c4283990225d201a0e4ac329092c55b9b1414f10,"202",,Emely,Patz,w,1966-11-06,"06136/30678943",,emely.patz@quickmail.none,"0000 2465 0920 1000","09/94",Mastercard
1,I,0x31c5f6be4e7ad0c8745bcbf62c33da1f59e808076bd36a101a80ac89bbd3f61a,"35",,Hans,Baumstark,m,2020-01-21,"02753/84805400","0150/2469028",hans.baumstark@quickmail.none,"0000 1937 0502 9900","10/06",Mastercard
1,I,0xfbd6e5fd2d6bfe7201957c4d7cc1a7ca2a48d1a93a90abdf7f1cd8e9cba11a5f,"155",VolleRose,Irminfried,Schreiber,m,1951-07-18,"04344/96745640","0165/1164161",irminfried.schreiber@private.none,"0000 2428 0216 2300","06/87",Mastercard
1,I,0xc9d5830ff23dcbce00df17caee72c59025ad10c2035e89b27ddd516d6906e8e2,"53",,Friedgard,Hövel,w,1956-12-28,"08034/83799366",,friedgard.hoevel@open-mail.none,"0000 3783 0944 5400","02/20",VISA
1,I,0xa510132ff1d7814913e6397dac8474467dfe639ca8460ddea7a7493c037597bf,"90",VolleRose,Christhelm,Neuendorf,,1962-06-05,"06586/52208040",,cneuendorf@quickmail.none,"0000 7560 0501 0100","07/16",Mastercard
1,I,0xaa6c292b1792385d2106f494432013b1ed636f3f5b69e758524714925cb7d7a1,"167",,Eckehart,Mehrens,m,1945-04-18,,"0157/3773901",e.mehrens@anymail.none,"0000 5270 0510 0300","03/10",VISA
1,I,0xa370c4085a0603d7f6bee1ace79c91c845776107fe05f954f006bebe85984906,"11",,Hildburga,Marin,w,1946-02-14,,"0152/3695675",hildburga_marin@quickmail.none,"0000 4768 0642 2200","04/21",VISA
1,I,0xe58499adefa8254a1d115bde779bfd11908f839d46cd101bcff2497a8975d795,"220",VolleRose,Nik,Maßmann,,1911-11-18,,"0169/4945947",n_massmann@private.none,"0000 1580 0400 0000","04/13",VISA
1,I,0x2bf523dc2657dcef583811a678d8a3bf6157091ea83c65e19546d47ad76e8cf8,"245",,Carsten,Giering,,2020-08-01,"02271/80678378","0172/6798763",carsten_20@mymail.none,"0000 3912 0965 9700","05/08",VISA
1,I,0xea2499972fb69c34321a85b9652fbc3601e4e6360025031585533b490e17f28e,"170",,Ilka,Wiemer,w,1938-08-13,"0551/13724446","0161/8288861",i-wiemer@company.none,"0000 4966 5500 7000","02/16",VISA
1,I,0x9a2a2a0f74828e24ef97ff001eb4a53a18979912e87550e2b2a85e4368a16a62,"74",,Edelinde,Nehring,,1978-08-02,"06486/22166869","0158/6964270",edelinde-1978@open-mail.none,"0000 6050 6521 2400","05/01",VISA
1,I,0x3c854f327b09f8add521c27b12dec9189e13c7653d0b94d5b55a6680f045d715,"182",,Dankwart,Bockholt,m,1937-02-11,"06346/29907604","0173/7903917",d1937@ultramail.none,"0000 2269 4917 0000","06/19",Mastercard
1,I,0x9a83653ffb1fcf847ec6d477e1217a417f447e91207001be2072c2b0333e9c4b,"116",VolleRose,Erkhild,Bödecker,w,1965-10-28,"02131/88434418","0170/4707150",e-boedecker@open-mail.none,"0000 3648 0700 2000","11/11",American Express
1,I,0x955d3aa3604a0f0464bcae56a58302f3291fca9647c3f3493bf1d2c2c91475a2,"108",,Willibert,Wanders,,1932-01-18,"07025/19172323","0179/3613414",willibert_wanders@justmail.none,"0000 6558 6619 0100","01/16",VISA
1,I,0x3b1806a10fc387de347d74a58d74afda565ec0702dd3ab21b0e61d70b88c1954,"128",,Ulwin,Reidenbach,,1961-08-26,"05751/85481576","0175/4401688",ureidenbach@bestmail.none,"0000 0818 0550 0000","04/90",VISA
1,I,0x7fe11c7c54a8858c2819bbe1a42a4a88562a042dbbc8b51c660941bdaa5aea18,"69",,Kathrina,Lüttich,d,1955-07-24,"02692/44265118","0156/5593583",kathrina_luettich@funmail.none,"0000 6624 0603 0000","09/01",Mastercard
