"sys_loadingid","sys_cdc","sys_checksum","lieferadrid","kundeid","strasse","hausnummer","adresszusatz","plz","ort","land"
1,I,0xe97be6212db198303ad18c5d049f87f17ab84a98fa7819494242d01da7592101,253,"101",Eulenbergstraße,"76",,"18573",Altefähr,
1,I,0xe42ddcfa4413e129f6980a2e81e1146233eeb5b882abdac5af6465f46079489f,700,"158",Rosental,"47",,"87782",Unteregg,
1,I,0x1445c4773bf9de9d55f7f23912c4ad3e86fd8baa1585d4c7d5e60ca66a0beb3c,399,"89",Tannhäuserstraße,"127",,"2979",Elsterheide,
1,I,0x354dc0495e0b2dccc46d3cf37aa0c80689102bcc8cb6be9ad7fd8e4cbb64a4f7,119,"111",Fischbacher Straße,"160",,"38173",Veltheim,
1,I,0x7fd2a5e0eb5146d386423a1c889922d0d1092b503ee81699ebbe33ac29f7ed2e,270,"125",Nettekovener Straße,"132",,"59368",Werne,
1,I,0xc385bb300c4eca09854fee6626d8f2816509dd786aff9f67bf763538a61c83bb,437,"60",Im Schlag,"50",,"66885",Altenglan,
1,I,0xcff83266cd94ed746dd5ad05211538bbe1a7e2dc04df698dfcc5febacac16457,620,"37",Trills,"72",,"52499",Baesweiler,
1,I,0x36bab4f0ac968567cd309048504e1d27bf6722d7759059794cb9cd1e043571a3,518,"175",Borgkamp,"40",,"67256",Weisenheim am Sand,
1,I,0x554f7c506ad68ce275b6da88fc04798d360ff06a5a2db27bad6b8890e9958226,549,"66",Schutzbacher Weg,"177",,"44789",Bochum,
1,I,0xa64eb80918d1c5fed313bb33f7e22cda867f2e81d60a5be772f5a66e84f730cf,268,"199",Pötterhoek,"172",,"61381",Burgholzhausen vor der Höhe,
1,I,0x1d8313b4737a8bc87aaa83455712d6c3d167207598cd62714168fe7c55cae90b,310,"92",Hindenburgstraße,"116",,"24852",Süderhackstedt,
1,I,0xd4585f3066b4280153cf42bbbba32ed837c64306e3cad6bce7a67fb454638e60,214,"21",Bleibergstraße,"113",,"24244",Felm,
1,I,0x560c4a80722153bb1bd1cf7fa9feed3e46f8fee3e8c74ba619daef5d058f5311,397,"27",Elve,"76",,"39264",Moritz,
1,I,0xdaf297411490e1aa33776bd584615ca7a26b31a59ead343255ccfd24d34245ae,101,"85",Dietrich-Bonhoeffer-Straße,"100 b",,"76857",Ramberg,
1,I,0x96aaf730db98f4a9ee182ef1e5aa253124bf457b601f670717065e1ab61f88d1,339,"104",Schützbitz,"76",,"84437",Reichertsheim,
1,I,0x9f7f97ec9a8df1bc5fe7df4c03253ca323b508dfe873db906f23ed697c9976a3,20,"235",Frongasse,"165",,"45894",Gelsenkirchen,
1,I,0xcb7cd8a68304b6e4a4b1248ca40bd4be00830d8559cc3d3e92ff6337ee5d17ba,486,"170",Braunschweig,"47",,"86316",Friedberg,
1,I,0xfe43e87f2c967f10af7338561b391c6bbe03a5703c9300ffe43f320c2432e16a,330,"143",Nollstraße,"52",,"65347",Eltville am Rhein,
1,I,0xbc6646e5ab7df8021f1df6cb1091ec988b7e00a9924c669ab8e9fc72abc1a341,82,"155",Siegelsteiner Straße,"104",,"55596",Waldböckelheim,
1,I,0xb364af28054e0befb600522cf65875ee482ee0561b826793f5ff2169c041f506,25,"179",Schadowstraße,"190",,"25776",Sankt Annen,
1,I,0x5b43af8e69db7112a00dc34e7e3083b34d308767887887c3bb802a94750a0cce,359,"191",Giebelwaldstraße,"108",,"98597",Heßles,
1,I,0xcb52ddc03e3ff12e763f845723b06c52792509bfaebe22f8957c8f8ff95d0af9,213,"115",Schimmelbuschstraße,"80 a",,"29476",Gusborn,
1,I,0x504e48bb74595fb935ec948b29c027fc96186ede15dafaa9a292a11192015808,26,"152",Neue Bergstraße,"196",,"42579",Heiligenhaus,
1,I,0x47c32ff57166c3d9061d3a9e12e56c8823a825b04e494d3387fae056a27a2af8,137,"153",Ahauser Straße,"1",,"67753",Reipoltskirchen,
1,I,0xc0fb54d1b58bf7c9e00948fe93529c4a4e4c62e238d410c744217210d4bd9405,745,"103",Husemannstraße,"148",,"29386",Hankensbüttel,
1,I,0xe99e68270e4ede30a6e9a16dba9b0ea25686710626f6cfe437b612f89beeb88c,265,"59",Am Krausen Baum,"109",,"45476",Mülheim an der Ruhr,
1,I,0xf34dc4ffe1a6425e1eb62be0de510fd24ede30b2cf648dcedc3b43f6ae8a21ee,405,"271",Raesfeldstraße,"107",,"67737",Frankelbach,
1,I,0x29694573f11d60cd80b4e139d402d6bc785b99df4814f5a9b69a4acc487d564d,379,"208",Querstraße,"82",,"66571",Eppelborn,
1,I,0x150866a1836a2f1378eaf0e0006d29ddce945242f7f8fd6219f1c84af52e7572,292,"180",Scherlebecker Straße,"173",,"53557",Bad Hönningen,
1,I,0x80d4ceec99f695939516060e752bda73a4b77a3047b4d9980f4060178db64142,168,"244",Böcklerstraße,"134",,"71299",Wimsheim,
1,I,0x21ecfd26ba1a96a13fc93033b0d65853638ebb3f87c6c10ab9799b43fb4b9d27,136,"107",Mühlenberg,"2",,"24616",Sarlhusen,
1,I,0x4c60f437e3c86a857604d6dba0188942939f47042c6b05cfa51a7a4cf5aa71e2,218,"175",Am Guckelsberg,"114",,"91238",Offenhausen,
1,I,0x120eb91b1f31af7f7df51bf8d30f01dedbf90bc5baf2032f851cb9dd07f13c63,196,"253",Jan-von-Werth-Straße,"120",,"19406",Hohen Pritz,
1,I,0x0ad5e91e0198650e80add901dcc0ede25190532166b1ecd137e6c85c54864aa3,373,"94",Remser Weg,"148",,"54578",Oberehe-Stroheich,
1,I,0xbce15f91c12372477b4e37e3972806d335e14d8b97650efffd951c2801a48a72,238,"35",Oberseifener Straße,"32",,"61381",Köppern,
1,I,0xe65a7ea1866c961c16d4c8469f49b906a0434da9e000c912e14b68d07aa177ce,27,"27",Lautenschlägerstraße,"81",,"33829",Borgholzhausen,
1,I,0xc2fe313b4a2f3121ad60434884e723bd3a53a7a5255eba6f9ed51e338a93a426,230,"112",In der nassen Struth,"7",,"84524",Neuötting,
1,I,0x7ac8b67b809a9ee367d72797bb56612309618671742448e224d2cb3531cdb225,785,"139",Hornstraße,"132",,"24991",Freienwill,
1,I,0x98d18dc536b99559f38181e559c9e931a1a3a944a4cf479c85dda6a30c9d612c,414,"15",Füllenfeld,"100",,"28209",Bremen,
1,I,0x391ea1a0d4fb8685fdf9a6194ba55a537f4779dffe82ffe0b40fdaf69be70df7,765,"60",Nordtor,"113",,"55776",Rückweiler,
1,I,0x67be3b3c2b2d588ecdd4679d818674f7c36510ef384cb8597893f944f91ec577,667,"79",In der Hardt,"94",,"84036",Landshut,
1,I,0x13e0386068289048b8a1a11100f9eda68bc2b3ae6a8a5c03b1d5a856475897c7,449,"283",Offenbacher Straße,"128",,"69257",Wiesenbach,
1,I,0x969b613246ccf7523e0665049ba3de13b36de9be203fe12925b12d3c4ab8c0a5,786,"95",Flachsbruch,"98",,"90547",Stein,
1,I,0xe405c520cfacbb88e65d294486fc67ac0d2e828f268e5e506857759e20e51e01,149,"291",Julius-Leber-Straße,"194 c",,"56729",Siebenbach,
1,I,0x3f7a603c6b810edfdedff99d5abd5401bf6f6c0b5b9c89b806bd08a1247334fc,733,"192",Franzstraße,"111",,"24256",Schlesen,
1,I,0xf439b4390d8ca178d3161b7f21f8ce7c120242b6eb0ba810dced60b1250b2f41,93,"10",Hauer Heide,"86",,"36205",Sontra,
1,I,0xb01a26a6c937e153450ecb1336b1f609d76391f1d8292b7538d3f8255e3508ce,307,"108",Wiehagener Straße,"37",,"7381",Paska,
1,I,0x35a5b70fc6f0d9d013d31bd08bb3f2c496c0fe33bdf86e63cb9827bf1c736bbd,382,"281",Hündekausen,"170",,"86688",Marxheim,
1,I,0xd7144d1b79c1e615fb604bfc3c1f47fecd3b925a0696409546c056562dfe0633,335,"127",Heedfelder Straße,"45",,"23824",Tensfeld,
1,I,0x24d458446a72f34814ca08da43e15259d1a29b3a4884c5e6ea104174ffb4e721,706,"114",Ohmstraße,"40",,"54664",Preist,
1,I,0xc7859e3ec5188c7023166416c5bc6a834fdb36c8d6316438b45c39594de34bf0,555,"114",Laurenzstraße,"85",,"23919",Behlendorf,
1,I,0x7933776ea1835a55229bdcd132e26f533df99463b588586264fdbb598d440ad4,541,"138",Nachtigallenstraße,"82",,"47533",Kleve,
1,I,0x22febc829ebb442c14ef9538add1f11e2d7e50609f6bf49ba61962f1f5cd817f,554,"176",Molkereiweg,"107 c",,"36329",Romrod,
1,I,0x8b0632f9c34278cfd3d1b9edbf6137daf5e0def4eb64cad436d2db047671f244,191,"41",Benrather Straße,"174",,"53534",Barweiler,
1,I,0x14a4a36c1a6cf3ac266e8bae9338ece9b10df22098ea5083c0c69350609e2c40,774,"175",Hünxer Feld,"28",,"24392",Ekenis,
1,I,0x8876bdc4b5f1930bc996db3480866befdad8c22f6ee0bed4c206ef3b4b342844,714,"198",Rabenkamp,"44c",,"88499",Riedlingen,
1,I,0x721d9309096770cc51f220f7181b56dad9171431727b83d3e75a8d0c569adbf0,295,"131",Klagebach,"45 a",,"66497",Contwig,
1,I,0xde35f63c190571666654dae380265400afca2e0ac13050a5c16b67b09681e0f0,11,"62",Hüblinger Straße,"67",,"54689",Reipeldingen,
1,I,0x129a7daacbacd4e87d61d9838285f42e1f6f7b4aec3588cc5aec4cdfe34e3fcf,228,"177",Hagenstraße,"151",,"63867",Johannesberg,
1,I,0x92b58ae42b8b03933569e0c6cec6b33dc5c540900d4769da03508a0b801147f4,135,"268",Bussardstraße,"183",,"7389",Keila,
1,I,0xe45cbb184b6ff7c88ed27c29fbcca4e5842d08a5e85ea8df34dfc43b1adcda11,523,"49",In den Weiden,"111",,"57580",Fensdorf,
1,I,0x355c2082317c83f6c21739c4ef55d9d0030123e3c3f38f4ca8870f1d8cb6223c,252,"51",Wachtendonker Straße,"189",,"73660",Urbach,
1,I,0x0f506f7a0535453772cd5690788c4900e8fbffcb794246bd05f45c402653b9f6,39,"69",Auf dem Kampe,"169",,"54675",Körperich,
1,I,0x0707249dd1ce6f4e52120f8f90c36421210bef230f7d6c2b412f429a094da719,537,"260",Segeberger Straße,"136",,"56321",Brey,
1,I,0x080a47a2370aac498d8326d10f521469f017fb9cedec8d6f9cb7dabcd99e044b,526,"3",Schäferweg,"174",,"25704",Bargenstedt,
1,I,0x659931e10814172c7f49141062e6c69be4d4dd184ff80873777dee1fb77bcaa2,508,"257",Pastor-Wigger-Straße,"77",,"19065",Pinnow,
1,I,0xb82cce0daae779c9e96adbaa78e0cad9c42178e34528ecf9c8e37a978483da69,489,"189",Regerstraße,"82",,"77933",Lahr,
1,I,0x18b4b04dbd6a15ab57dc654e1705773cc542748a1975de20a2d6ccab7c2130f7,559,"98",Im Heimbachtal,"117 a",,"47178",Duisburg,
1,I,0xac353de8254a8dd32f23da06f2a3093767e512a1bd1363e5c10f8f2baf3ebfb5,662,"67",Landoisstraße,"68",,"54523",Hetzerath,
1,I,0x0c726320e0eef102b56ce1624a9d808042486d3ab92468ee2a12e662975d4985,131,"239",Neitzerter Straße,"155 b",,"94505",Bernried,
1,I,0xdb6a4ebe0e3ee19a1cb122188084293647bd043b20aeedc87ac33dd3289e3459,178,"129",Im Wingert,"133",,"37197",Hattorf am Harz,
1,I,0xb7030a30b9e5988a7252fa1e8d96cb0708b4197c5ef55c614b082264e045f8e5,471,"57",Im Römerkastell,"164",,"24222",Klausdorf,
1,I,0x8cd2186db1b41172545334f77e91c60ad649bf04963bd7e67eb3bc7a4bcc74c1,255,"225",Im Frohnchen,"2",,"91741",Theilenhofen,
1,I,0x69737199bb30fc4c8596b6fe195fdfe8c2dd900b0e960a53e66e0c4b46950a45,357,"121",Vor der Loos,"106",,"67366",Weingarten,
1,I,0x64bf44659649ac30121412b492affd71f03062d4bf17c34d8db0b6fc530e8b93,241,"273",Böcklerstraße,"92",,"60327",Frankfurt am Main,
1,I,0xc28dcf398bdf3f81d1c102b2226afd58529486818b8be984650df22394c33cb5,465,"108",Schlegelstraße,"114",,"54673",Krautscheid,
1,I,0xd4280401b9cd669c9b3401bdd133061e3712c86d3c044204ac363eaff46408d2,325,"131",Greta-Bünichmann-Straße,"58",,"74427",Fichtenberg,
1,I,0x57c27c78f0104da5896a3352638871ab6c4055f4b94a2f966dfcb60968bf2946,17,"177",Ludwig-Richter-Straße,"20",,"54314",Zerf,
1,I,0x29d56749c32b2ac89b69b35f7425850355f24ecd41ffbf623f28507a1dcc5582,563,"193",Sonnenau,"116",,"12059",Berlin - Neukölln,
1,I,0xfc7cd0b4c793dae522bde7f1bbde423e5501e85f29459b74f93b9121f43a44e7,142,"190",Hermelinweg,"12",,"55234",Gau-Heppenheim,
1,I,0x903b4bfbf4d14482737d4e8c9beeca7f8ec761f30efb9630777d330a264fd32d,66,"63",Werkstraße,"129",,"78592",Egesheim,
1,I,0x92214c09c67bef2d6a25dd752742577c464f082de580ac0da6746e54275a9b1b,479,"250",Mündersbacher Straße,"32",,"55288",Udenheim,
1,I,0x54165dceb73dc3fb573cf13ee0c1f63d6e70bcbf86d6e7e4a87d24b064026257,640,"180",Volmestraße,"4",,"21720",Mittelnkirchen,
1,I,0xf1e24fe61619041259f00e545e9e2d4e2ec8bd9b7c7155a1e6b9404e5d9d7af1,160,"154",Ruhrblick,"99",,"59063",Hamm,
1,I,0xc0b1133cec2b39a9ee5a6110f26dc54f348ab43eee5aaf8da042be20768a4e04,89,"15",Zum Grünbusch,"49",,"76229",Karlsruhe,
1,I,0x025be0ef98951b75d29a26220a0a9f0b202d6d7c9263fb5e7b18e397d66f907f,504,"75",Schloßstraße,"136",,"25878",Seeth,
1,I,0x705d160be030078793912ebd311ff8381ef1c00b6850c704c0083889dd7c2a67,284,"148",Auf dem Hollen,"69",,"71560",Sulzbach an der Murr,
1,I,0xffd8efec22b237e1705e68155300d6a357c102b4f766194939aadab8d8deefa5,512,"169",Eichhornweg,"127",,"95361",Ködnitz,
1,I,0x6dd78865f92b8b56cfba7f359cb81021b08521d9af1c657af969ff3a388659f0,33,"171",Ascheberger Straße,"153",,"88400",Biberach an der Riß,
1,I,0x86ac9ff82ce20c19cf301c8f121f0be440210c0e7ff5e4c24974c5dab2256277,633,"150",Oberfeller Straße,"22",,"66871",Körborn,
1,I,0xe6beb0ea5560584f1cd725cc428b774090909aa521837048e0c8b35080c51512,779,"94",St. Barbara-Straße,"35",,"56865",Schauren,
1,I,0x35bf770bf08f3aaa4f820eb4e64c33e77092d4e1f21c7a6d84210a84e87b7c3c,442,"139",Am Bülten,"197",,"25770",Hemmingstedt,
1,I,0x3e6aaf8fd69261d79fddedcc40240d3c622438977e23e707b5d2975d7677feb3,109,"43",An der Kreuzstraße,"96",,"97845",Neustadt am Main,
1,I,0x82c241c9e4c9495de4182c583be4846dc1581b64d9b63679ef2d22184086a120,57,"220",Schultenhof,"186",,"17192",Groß Dratow,
1,I,0xa44cf9f4d98d0891dc9124614358985b6b458b3f8d6c7ee43e3295db85b11c2c,239,"12",Ulmenweg,"128",,"87647",Kraftisried,
1,I,0x9cf0113526d6d6e19cc6a29b975b2bd3b557eddcf13c48bfe531f41c49b042ed,288,"119",Heidchesgarten,"80",,"91798",Höttingen,
1,I,0xf7833eee540e6b475a94527d508f47c5b3467e2a978f7ce51806fa6e028e376f,31,"182",Gaulental,"68",,"21483",Lütau,
1,I,0xfc9d4a2a8b9940f5af4940c2a1e1cef220f4fa2852bd1a6815bd98b4e81bfe39,738,"65",Eispfad,"85",,"91224",Pommelsbrunn,
1,I,0x155e89f024b5da200ef21a012d3b82972c2c3a6fa9d4f06fb3c0ebaa71093646,524,"59",Auf dem Schoppen,"99",,"27305",Engeln,
1,I,0x36035b21beef92dafde356bddee88c4378cbadaff7846c3625a56fc2ae2e13c2,644,"14",Sorpestraße,"134",,"97294",Unterpleichfeld,
1,I,0x005d707f4ca3148d677027b515abb71a618aefcbd4fc17499e584a0e6cd2fcd3,505,"99",Biebricher Allee,"94",,"94568",Sankt Oswald-Riedlhütte,
1,I,0x75455af63257a86c4b332c5299e768637d66f00e6d896a10ba35c7cde5977859,34,"195",Käuserstruth,"156",,"32791",Lage,
1,I,0xed6ac8fa677a79b79b1bf331eefd2559fdea123931845569a396b0db6cde27a6,763,"17",Holländische Straße,"124",,"73569",Obergröningen,
1,I,0x9eac5c742c62e50d8a6fd7a93a12323d670d82d71109fe8d0f94429a248672a3,296,"221",Empeler Straße,"105",,"78048",Villingen-Schwenningen,
1,I,0x3d276c9b8bb280876ceda62c6b0548efaca31e6698a69db1b47d21f5565052c1,12,"166",Bischof-Rüth-Straße,"24",,"26906",Dersum,
1,I,0xb14697c08f4c78096188934bb2176b15645a6dd3ed711604635e95541a146ca3,686,"2",Hessenweg,"9",,"63828",Kleinkahl,
1,I,0x148b07a1d319a2f62fe85262a940ea7f6199ac96bc976b2dd714be0884922905,282,"272",Goebenstraße,"151",,"76467",Bietigheim,
1,I,0xc6a936f138e984be07ff48d3c36812c67093d1f81ed59862092d6eb4255aec32,428,"243",Moosweg,"44",,"54552",Utzerath,
2,D,0x,999994,,,,,,,
1,I,0x02bc59ac2fbc839af90c6e92f9f4d1a9ae8c56a7bc0a57f488abaef3ce017693,321,"8",Im Meisenbusch,"102",,"65479",Raunheim,
1,I,0x431f39cc3d42773240fcd43c4c2267fdc461e95c76cfb6a192e9cbe221877145,10,"117",Patterner Ring,"137",,"24864",Goltoft,
1,I,0x5ff8e5bf4f05895b3b3421bec7612d594c57dc0a640c8feda3ac883c1b7d9860,324,"298",Emscherstraße,"117",,"82383",Hohenpeißenberg,
1,I,0x7e2940d2f9ebb7ad10c02e90ea398798d85c77adb4f7466862b2f3e8ebbf74a3,684,"241",Stannmauer,"172",,"58791",Werdohl,
1,I,0x679c4e1f044f78aa18c77a1012aeb908007302a31597de3b6d1d6c30d10a95ce,18,"64",Filchnerstraße,"116",,"47589",Uedem,
1,I,0x44a5c46f1ee9cd0a076f9ba9402f865358b880e126b404d54d41eba7ef345df1,614,"144",Maternusstraße,"13",,"56355",Hunzel,
1,I,0x8d38d672e114e81a6340a786e1f005397286cf08d2d78aadccc1e6b24145a7c8,146,"196",Freiheitsring,"49",,"79369",Wyhl am Kaiserstuhl,
1,I,0x694b828aab402e2dca7c0ad904e078d3ccbdcdecca4fd14575ca74c5be809489,139,"125",Postplatz,"9",,"48465",Engden,
1,I,0x1df294731600a2c146b9caeffa0eb3f32af9a9d968c35d2c3318fed3d746395e,752,"61",Rheingoldstraße,"138",,"91793",Alesheim,
1,I,0xa080ee9b1bfe69aa776ff50c924abe44e327d98099245d7ec18c0080847e0c9f,143,"45",Am Fischteich,"15",,"45739",Oer-Erkenschwick,
1,I,0xe9213295230d6695e2098608fce4c6877979d24c06e018f585e8188499a44a35,594,"103",Luchsweg,"198",,"73113",Ottenbach,
1,I,0x0ebd836c4de2f3034dd43822ed0fc2741370217397c7bdbbf3f39f690f283c91,424,"47",Wieser Weg,"101",,"57520",Niederdreisbach,
1,I,0xefb0901ff63201c523b8ba23714cb85885bb5f2f1c2bfb0c2aa1a64e09d9473b,98,"153",Stiller Winkel,"110",,"63699",Kefenrod,
1,I,0x2603599d7d14134e46edee52d7b2467cedc65900390ffd04b5de9695c88d630c,381,"171",Ellbachstraße,"176",,"25924",Emmelsbüll-Horsbüll,
1,I,0x3e83ef93248c96602f4ccfd1952f2e6c836894fc1bb1564c0284a9ef7e47bc8a,193,"88",Burg,"107",,"29556",Suderburg,
1,I,0x3100a08688e89ebfae1e68628cab8dfdca4ac9dc1b54dfdb298c547886e15b4a,655,"254",Urftseestraße,"117",,"56753",Mertloch,
1,I,0xf5b8f66d4fb44ef4ae5a20e3615638e0296c7954fdb5ce6716490ecbb34e05b2,408,"100",Gräfin-Hedwig-Straße,"173",,"25704",Nordermeldorf,
1,I,0xb8d4f07498540a1d02bc9292a48639d816f5b1382e3133618aee8557f4b82d76,466,"276",Polmerheide,"37",,"85110",Kipfenberg,
1,I,0x168c02c201e9dd3bf31cbb3306f0a271c35e63fb31a890901abc843bece9744e,243,"238",Am Heller,"93",,"24119",Kronshagen,
1,I,0x046e8407777230f6e0dca6490088d7b6ab130d28e2247c1ba1986b5fe246199a,617,"284",Markenweg,"54",,"25548",Rosdorf,
1,I,0xd57785afa767d60194e45dfe39500aa5bdea24ae616965f11044c3de5fead931,674,"121",Zehntstraße,"67",,"72348",Rosenfeld,
1,I,0x1f10f56284575ccdad233376872f843b6f511e5386bff579e36b9ac314d02e08,167,"123",Bauernweg,"114",,"56237",Sessenbach,
1,I,0x5879d0376a9ca3d82552a70016f026e45106da3db1466aa4622048cfeedf7e09,250,"117",Industriering,"47",,"89617",Untermarchtal,
1,I,0x1f7619dc4a858d10ae241a31918a0d8e654c2545d23fe25a3f7b6787227cde1a,672,"174",Voerder Straße,"109",,"56412",Oberelbert,
1,I,0x45525f07b37131717bc689730b22a1b3565fc54ea239cc98a87c04f2689e449b,64,"20",Alter Venloer Weg,"149",,"78098",Triberg,
1,I,0x71256c44306b3b833ec982aa7f65088273f5b91ee9e2340c6761d51c8d1a2e6d,478,"225",Nonnenley,"28",,"71739",Oberriexingen,
1,I,0xc06656aab15d150fafd626dd2f2c44ef5998413f7a1ff1a09dcb567e76f36c69,145,"94",Preußenstraße,"192",,"36043",Fulda,
1,I,0x1ddb27d9c093bb6b51965ab079b01354a6adda78aeec11492b1ec942932a0da2,777,"48",In der Wesser,"72",,"21445",Wulfsen,
1,I,0xc5e2f7b47f6485c934dff1f883bb0fb6476819324fe5f6eab731679dc3b9ccb2,582,"158",Bremer Weg,"149",,"54498",Piesport,
1,I,0x806393dec5f79c86a50db53634ed2ea82939c793921982bc10365742f771894f,458,"119",Zum Rüsperwald,"131",,"25885",Oster-Ohrstedt,
1,I,0xa4a16e6d39f678ade7e6b3424179733a8ad8cf5cf6472e51fc94a7a7d5a239f4,198,"189",Seelbacher Straße,"198",,"55288",Gabsheim,
1,I,0x6b36d0e96cb633b4ecf5b45df71ab187d969483a3f0c5c3436170c388a5a184f,629,"229",Heupelbergstraße,"21 a",,"28876",Oyten,
1,I,0x0a47a565e64919c856309c051db727eeb0c32c63bc449887e06808ec969ffeba,104,"21",Alte-Wipperfürther-Straße,"46",,"45326",Essen,
1,I,0x94889e9e59a48fc741cb98487fa7acecf7e1e12b32586e422066c6af11a18ddc,413,"110",Gahlener Straße,"49",,"49082",Osnabrück,
1,I,0xbec78869f1593b1d4150b336d99bc2e6196f3211fdd5103936e169cc86f58a7b,163,"190",Dröft,"155",,"55268",Nieder-Olm,
1,I,0x6af8401d0aaed6eede39da377bdca6180fa92e88f6a2fef8ea241120e5748373,102,"147",Von-der-Tinnen-Straße,"150",,"57334",Bad Laasphe,
1,I,0xef951e57959d49efcba3c8dd5e1b963195eace0f3b589db50704397616beeae7,315,"93",Häberlstraße,"168",,"72401",Haigerloch,
1,I,0x315a6ba0be04be2549ca193946c8f4c2ca9a3dbceaa1e83dec091741168df7d4,533,"50",Im Mühlengrund,"106",,"84558",Tyrlaching,
1,I,0x2c07c9a1dabd0d45c37a550490ccf7be429c1df4ccd4c4137ecd0db3386ad83d,71,"82",Eichenfeld,"155",,"56283",Kratzenburg,
1,I,0x093fca8ea8fcbfccbb365e9eb7b3d2e5867883120d2333bf2fedbcc9f42f271f,588,"6",Hertzstraße,"105",,"73450",Neresheim,
1,I,0xd90051987d44c53d80a59ac1bb88a1fddddb068f8afa8d7c55a7583f1e9cfb32,796,"202",Xantener Straße,"27 b",,"23936",Hanshagen,
1,I,0x1d6e6af318fea3ee20afd4521e06724c3f0a8f4ee85f2b45e85bcf38e59dac15,2,"87",Brockamp,"129",,"54558",Strohn,
1,I,0x37b8dbfc2c791fcee544a51767c07af382d81a6bb94bc7c7169c0436390bd929,343,"145",Habichtsweg,"133",,"45326",Essen,
1,I,0xca19148b53a7db72f5d973cfb05991da3c82b5babd80222f887604f029c9a589,72,"213",Oderstraße,"156",,"29413",Osterwohle,
