"sys_loadingid","sys_cdc","sys_checksum","bestellungid","kundeid","vereinspartnerid","kaufdatum","kreditkarte","gueltigbis","kkfirma","produktid","menge","preis","rabatt"
1,I,0x866ea718de7aabf18465469d021fb442e7eb370cc44c48d2809ee0b3e2af1905,RS0000536,"61",GlückAuf,2022-03-05,"0000 4563 0901 0000",Aug 23,American Express,104,23,5.00,10.40
1,I,0x4e381b723e283b609c41af53ab42d8beb6a73c4375deb6497cacb6f8916043bd,RS0000438,,GlückAuf,2022-03-05,,,,82,48,4.80,0.00
1,I,0xffe0836f78303ac1f53b2a0f49979c8894976ee93f172fe59cf56496ec3fd582,RS0000853,"403",GlückAuf,2022-03-05,"3900 0000 0750 7620",Mai 15,VISA,36,19,0.50,3.60
1,I,0xfd6aacf9f3bd7cee0fe9d33faf940a9454c003f1a613135a7e1376774c6ed295,RS0000306,,GlückAuf,2022-03-05,,,,8,44,7.80,0.00
1,I,0xa65cb268e626d238ae96d181dcf75e33a70a2b454222d0dc02d6972f50a2e8bb,RS0000511,"317",GlückAuf,2022-03-05,"7613 4300 0367 1640",Dez 17,American Express,55,9,5.00,5.50
1,I,0xe909c2bf8655f5561b8f2230a500ff7f9291b822ff289595231e3e244731186e,RS0000071,,GlückAuf,2022-03-05,,,,77,21,1.80,0.00
1,I,0xd0f8bf17430240935b2bb91dd048c1b4de08fcd5a057b8d0db83f5e9d47a5c54,RS0000452,"16",GlückAuf,2022-03-05,"0000 1551 1519 1900",Jan 23,Mastercard,107,33,7.80,0.00
1,I,0x5524a144931b3178b142146a0dafbe8e17844d792c388742984bc321ff876afd,RS0000319,,GlückAuf,2022-03-05,,,,2,2,3.80,0.00
1,I,0xf0a87964d4a5955cd732bc9e5572bd4620b64490cf3fff5d55fffb191542f107,RS0000091,,GlückAuf,2022-03-05,,,,4,17,4.80,0.00
1,I,0x86d7a8cf38528db9e55a3af3337638b420fdac2928b55aab9c1c58daec916ee7,RS0000465,"122",GlückAuf,2022-03-05,"0000 7636 0800 8000",Mai 23,Mastercard,115,5,4.30,0.00
1,I,0xd92e9efa01e77ade00ee6a0e2d3ede8b64242ce536e713ca992ea0df970a6ff8,RS0000745,,GlückAuf,2022-03-05,"2500 2000 0894 4120",Jan 16,VISA,73,38,3.00,7.30
1,I,0xe21e9c9555e83ece6f12a28cd0087707af01faa7a32d7158da390cc385bd2e52,RS0000859,"156",GlückAuf,2022-03-05,"0000 1868 0920 0000",Jun 92,Mastercard,11,25,7.80,0.00
1,I,0x5a72d6a283431347964492fe67dbc8f77005a1a3e5dc7ea12ae034c10bdbcb79,RS0000592,,GlückAuf,2022-03-05,"3923 0000 0784 2310",Apr 19,VISA,83,36,0.80,8.30
1,I,0xae3d0cb834578c3168a2f3b178ed85815a6083ce4c2e23c704cf7502757d61cc,RS0000139,,GlückAuf,2022-03-05,,,,113,41,4.30,0.00
1,I,0x7eaac9481973d59370584dc85f6d1040910ac1955ecc23eee02ee1e9874a3570,RS0000236,,GlückAuf,2022-03-05,,,,14,24,4.30,0.00
1,I,0x267da116edf92267ca32158881d33924ec998eb8338a1425baee3cf96b3d2237,RS0000514,,GlückAuf,2022-03-05,"0000 8879 0500 0000",Apr 19,VISA,77,40,1.80,0.00
1,I,0xff88d805533f2465c121df236af813b17a2ab2e2422c8be1c1a01fc7ca1b2cc5,RS0000124,,GlückAuf,2022-03-05,,,,56,15,6.80,0.00
1,I,0x7aaec6895cdb01ea465f0b3fd66c7e6ec8278b48541eea14032abae50e3ea1b7,RS0000299,,GlückAuf,2022-03-05,,,,49,34,3.60,0.00
1,I,0x08b1c9ec7144723042226418486657ea52148bfcfe3bd79d73d7610d907506a5,RS0000687,,GlückAuf,2022-03-05,"0000 8164 3901 3000",Dez 23,Mastercard,65,41,4.50,6.50
1,I,0x12347a808cb7e641e21dceb4aa9a45c847e9b7b6a652a4ce1410dc7cc6e46feb,RS0000729,,GlückAuf,2022-03-05,"0000 6674 3690 8800",Dez 94,American Express,93,3,2.10,0.00
1,I,0xe0b0f3650f259a12bc7da26023cec7b274c3b3377e3ce1928eda85549be86eee,RS0000549,"38",GlückAuf,2022-03-05,"0000 2226 9513 1100",Nov 13,American Express,118,23,6.00,11.80
1,I,0x9084057657d5c335dcaab98ff37b33680345416613b916c550f197a4b7fa2a91,RS0000279,,GlückAuf,2022-03-05,,,,64,9,4.30,0.00
1,I,0x23304fa72a7d82694484fdb9aff6c601b4046f457a730c917bd65918f2e435d9,RS0000606,,GlückAuf,2022-03-05,"0000 2768 3915 0000",Sep 16,Mastercard,85,24,1.00,8.50
1,I,0x8e0791c4bd912b536e0e7368324afa6958c0afa97b5ed3f24579aa492bd1e800,RS0000719,,GlückAuf,2022-03-05,"0700 1000 0234 1368",Aug 78,Mastercard,108,39,7.80,0.00
1,I,0xa8dc28d81c75141b3568f55b42403ff8f2d6e802ec776730474ad8515c05e827,RS0000741,"153",GlückAuf,2022-03-05,"0000 7079 1614 9900",Feb 23,American Express,54,20,5.00,5.40
1,I,0x9084057657d5c335dcaab98ff37b33680345416613b916c550f197a4b7fa2a91,RS0000056,,GlückAuf,2022-03-05,,,,64,9,4.30,0.00
1,I,0x63ea1e173715215cff3754fe75b75ac82f3decaf580902a708ad786bc7797a16,RS0000012,,GlückAuf,2022-03-05,,,,54,47,4.80,0.00
1,I,0x3440b09554d2a97d6f7a36e057ef263b4c7cf66443616c5d1889ac2cd254e0b4,RS0000737,,GlückAuf,2022-03-05,"0000 0380 0800 0000",Mrz 15,VISA,110,35,0.50,11.00
1,I,0x5c5a2669b55bb1d60edfe15bb1b6360001f7f595f2fb6424f621b9fdf6ca5df0,RS0000254,,GlückAuf,2022-03-05,,,,56,43,6.80,0.00
1,I,0x67efcc0e28f36e048918f7777076adbe03c1963183806135887d78aa2fbcd685,RS0000189,,GlückAuf,2022-03-05,,,,38,32,0.30,0.00
1,I,0xd74ef69f9845efeb48e2c0081f0683a7228e477e641402d40391c9a5aabdd5d7,RS0000231,,GlückAuf,2022-03-05,,,,87,48,0.30,0.00
1,I,0x133d5137795384584b592b80dac9bcc2be03bb1cf92c8f509fa5600260994f4d,RS0000191,,GlückAuf,2022-03-05,,,,32,37,4.80,0.00
1,I,0xf538e49906cc2a53fed676a1648677c35859cd4f00641cb0c8708519798f0a73,RS0000365,,GlückAuf,2022-03-05,,,,104,5,4.80,0.00
1,I,0xfadcc2fde0e47df6a934066624b084202410be151db881296ca1113e3cd6c95a,RS0000888,"163",GlückAuf,2022-03-05,"0000 8784 0800 0000",Aug 23,Mastercard,101,22,2.00,10.10
1,I,0x77411447f6f35c8d8e41204e2f10d3153880f8ee6c0007e48d40b3d9a54105b5,RS0000106,,GlückAuf,2022-03-05,,,,7,32,7.80,0.00
1,I,0x16a0276bcce6886ff745c050d1d616d68ea53dbdc741337c9c8da93cd058fc35,RS0000889,,GlückAuf,2022-03-05,"2516 3000 0515 7250",Dez 23,VISA,42,49,2.20,0.00
1,I,0xfc84f492e198ba8b7a7ae6f0be711a89d48452ea7360f3792f1666575d5b3120,RS0000329,,GlückAuf,2022-03-05,,,,30,12,3.80,0.00
1,I,0x10ae214d2ac08d981202d5422819c4c32bd77613d2f85b77c5682c8f2df3e76a,RS0000023,,GlückAuf,2022-03-05,,,,111,13,7.80,0.00
1,I,0x3cdccb1046dd619069728dec598fc300471105608cc05bbff7d17a6e33f1f13d,RS0000479,,GlückAuf,2022-03-05,"0000 1674 0500 0000",Mai 18,VISA,69,39,1.80,0.00
1,I,0xd69dc82db02cc2e68b0f2f10fa249ff16faaa2e3c9c4f154711192bf6fff4c91,RS0000469,,GlückAuf,2022-03-05,"2517 5500 0792 0450",Sep 13,Mastercard,60,45,0.30,0.00
1,I,0xd9e6c07c67db9827be9b07711027d1b47217242de93e223ad416aa842938985b,RS0000612,"138",GlückAuf,2022-03-05,"0000 9850 7500 9400",Jun 20,Mastercard,110,47,0.50,11.00
1,I,0x5843e1fd5a3e9fa3fa98b2f00c8cad990397d10d99d9487873d831fa1b847d9b,RS0000128,,GlückAuf,2022-03-05,,,,79,1,1.30,0.00
1,I,0xf49b8aa27411c3d8a654ca95500c2547936ccb9d4d2a6b1cc2f0b4c8dd7d72d4,RS0000049,,GlückAuf,2022-03-05,,,,2,25,3.80,0.00
1,I,0xeeb643ba5a157b4ca1d1f7913846f529593c084ab2df9ed2e21a7d2ea31cef0a,RS0000329,,GlückAuf,2022-03-05,,,,94,32,3.80,0.00
1,I,0xa5847720f78c844f760b5605e7d88c4e917d388ccdd95dc132f888cb047918fc,RS0000319,,GlückAuf,2022-03-05,,,,89,12,0.60,0.00
1,I,0xcfe0b735d0e02d2e22e87969df79981e03394f8bfd60e17877d4703065c5b055,RS0000607,,GlückAuf,2022-03-05,"0000 9250 8700 0500",Nov 23,American Express,88,4,0.50,8.80
1,I,0x364a3aae3e96f9799f3cbcff82605f9563408f83cdf524ac1b8eeabf5dfd6e54,RS0000482,"310",GlückAuf,2022-03-05,"6601 2400 0873 3900",Okt 23,VISA,9,5,2.80,0.00
1,I,0xabe6bda7d41aed03a579e62cc82e6afd2df8db30b18244a78716ad09f7864e4f,RS0000451,"334",GlückAuf,2022-03-05,"5514 8000 0695 2020",Apr 18,VISA,55,47,4.80,0.00
1,I,0xf5bde60008e6a894e86842e82034f9e8eb308ce250ecb94ff91f90d5097d9ec2,RS0000207,,GlückAuf,2022-03-05,,,,15,39,4.30,0.00
1,I,0x76f42a582a49f87a7a20d9b14f23f9b6176cf0e9e002676a3624e1bb3bd5c860,RS0000784,,GlückAuf,2022-03-05,"4601 1700 0882 1030",Jan 20,VISA,8,9,8.00,0.80
1,I,0xdce388e7278a781b95d401db8ed1c3cd6763f4024cc927d6af8f64deb4000525,RS0000052,,GlückAuf,2022-03-05,,,,103,14,4.80,0.00
1,I,0xd76c26da4d72e11565e7d1ea33d48b1482fa9dd40908d07f78e580a6f9f20ef2,RS0000532,"36",GlückAuf,2022-03-05,"0000 1072 0621 5200",Jan 21,VISA,85,8,1.00,8.50
1,I,0x87aa9539b26eee694c4ab5a5e8fce365ffeb82e3bc58403124770797ccdad7c0,RS0000172,,GlückAuf,2022-03-05,,,,11,25,7.80,0.00
1,I,0xa50ef35be21d1adae4709dd1f82138ad2e34558b9bebb5f19c159139b9f48184,RS0000133,,GlückAuf,2022-03-05,,,,48,48,4.30,0.00
1,I,0xefeaf6b2b603013663ec2fd0365e649c2b0d00e16054bcee59105d2f9c829c39,RS0000179,,GlückAuf,2022-03-05,,,,35,24,0.80,0.00
1,I,0x4e22e919458b05ea959d82fae7cc503248260fa86ff7b8dd96d5dbd44ba0c007,RS0000683,,GlückAuf,2022-03-05,"0000 5737 0800 8700",Jun 91,Mastercard,47,49,9.00,4.70
1,I,0x8c0928399caa094765198590d13ffeb7b90144cd392aa1087e0b77fa6f1a9210,RS0000485,,GlückAuf,2022-03-05,"0000 7460 0501 0100",Mai 15,VISA,117,4,3.30,0.00
1,I,0xae9eebc2ee07c3a1e1f024a91b01eeccf7a105c7c84c9c77edf3f7a72d68962e,RS0000674,"325",GlückAuf,2022-03-05,"6625 4000 0821 4150",Jan 23,VISA,111,7,7.80,0.00
1,I,0xd2898086dcc2cf78e854f2d6c7940aeade0b5abfdbd55d475e79625ae8793574,RS0000205,,GlückAuf,2022-03-05,,,,11,42,7.80,0.00
1,I,0x11a0f6b4be4ff1a80a3c0e38a51f414821a8de0185d77c107d080d7991821c92,RS0000436,,GlückAuf,2022-03-05,,,,106,22,6.80,0.00
1,I,0x133d5137795384584b592b80dac9bcc2be03bb1cf92c8f509fa5600260994f4d,RS0000403,,GlückAuf,2022-03-05,,,,105,37,4.80,0.00
1,I,0x9313ddf334bd0432eae931e608e8e4abe57e8d473702ece73a0ee37ec90fbbc4,RS0000516,"310",GlückAuf,2022-03-05,"6601 2400 0873 3900",Okt 23,VISA,6,24,7.00,0.60
1,I,0x4076a4dae21cdb37451d6e8038e23b022236db610ba20c91dcc66605245f6966,RS0000164,,GlückAuf,2022-03-05,,,,33,32,0.60,0.00
1,I,0x2ba0f589b4bcf3084033fc30b237c2e14927f57964df433e7bb33c9fbd8e5ac6,RS0000199,,GlückAuf,2022-03-05,,,,95,27,1.80,0.00
1,I,0xcc268c551a5263d60e10dc06075f83cd3b17f4fcca4d9e0372341084cb7eb967,RS0000134,,GlückAuf,2022-03-05,,,,54,3,4.80,0.00
1,I,0x505b75428af8b3b075ec72b51bf1686d3c10b00987625c565395e1bdf40068b6,RS0000563,"407",GlückAuf,2022-03-05,"0501 0100 0967 0118",Sep 17,Mastercard,13,36,4.50,1.30
1,I,0x521aeed4a4adbf86d1ddf7ee58d8ac97df6b04e590ea493b0d56713873112039,RS0000259,,GlückAuf,2022-03-05,,,,107,16,7.80,0.00
1,I,0x7cf6117d13d1c1230de309c4ef3b508abff19cfaead4832aa38acf6157963f18,RS0000684,,GlückAuf,2022-03-05,"0000 4750 8643 2200",Dez 13,American Express,67,19,3.50,6.70
1,I,0x01aaf3135acbed37e5a3ad55ba2ddf7295493f9a65449d5ce4f6ce315e9efd54,RS0000229,,GlückAuf,2022-03-05,,,,9,41,2.80,0.00
1,I,0xc2073e92a0de721c1d165b8fe32cbec9545b70c34174461edbee6b53a29dcc6f,RS0000723,,GlückAuf,2022-03-05,"0000 2350 9612 0600",Nov 16,American Express,24,27,3.00,2.40
1,I,0x3a3dbab83bf7f9dffa5fea6d98e58f977abdd7086588887dd9bde0226a40578b,RS0000480,"142",GlückAuf,2022-03-05,"0000 4831 2512 2000",Feb 18,VISA,103,48,4.80,0.00
1,I,0x36c36daee7ae51a0fdcc5b92976e74b87c28a969eb67df75ee5601cf39790d11,RS0000618,,GlückAuf,2022-03-05,"6513 2500 0758 8070","10/00",Mastercard,56,41,7.00,5.60
1,I,0x1f258ec363ca41b19d02d4d4054fecf72154ab54a6d1c5c10b19c958c740fb99,RS0000593,"193",GlückAuf,2022-03-05,"0000 2676 0695 5900",Mai 23,VISA,124,45,3.00,12.40
1,I,0x7f053f2b6bf7ddb359291429acb910a6b70b4eba52004e3799ca46d5f4a69bcb,RS0000166,,GlückAuf,2022-03-05,,,,123,3,2.80,0.00
1,I,0x02a22695da014fc8dc57f9c70ed9fba56d262df82fb4b6546ef9585f3043a8f7,RS0000089,,GlückAuf,2022-03-05,,,,61,46,7.80,0.00
1,I,0x23fe44b6642a1cac87c415fbe26a66adf4e9f02eb6d447b2813b4ab7d147cca4,RS0000811,"232",GlückAuf,2022-03-05,"0000 6950 6616 3900",Apr 23,Mastercard,91,37,1.20,9.10
1,I,0x2ee279465dab55b23bda48146c183e299530b4df9fd57da83d67fb29d3890265,RS0000468,"51",GlückAuf,2022-03-05,"0000 9154 0616 5000",Jul 20,Mastercard,98,28,4.30,0.00
1,I,0x6c36da4c29b07244c3b606d9aceb675948fdf879902699930b5be0a97d8d5d37,RS0000817,,GlückAuf,2022-03-05,"0000 2386 0101 1100",Apr 84,VISA,114,10,4.50,11.40
1,I,0x6ee30286a495f6aa9ce54f8a1a1f601e94429063c7a3b4cf315e00208bea1ed1,RS0000213,,GlückAuf,2022-03-05,,,,125,12,6.80,0.00
1,I,0x3900dad7599a16b6fd72351f307f829757d5bc3db26ab14b1d4cfa82b546bd09,RS0000806,"171",GlückAuf,2022-03-05,"0000 6628 0906 3300",Nov 13,American Express,117,40,3.50,11.70
1,I,0x8f40350553776668954eb4a7f771546ad397d25c974cacb364ca85a3d458b0fe,RS0000149,,GlückAuf,2022-03-05,,,,39,8,0.60,0.00
1,I,0xb441c59fc327927ae058f7516cfa40e55d11778cd5e35ac9944e1bf403edbeeb,RS0000423,,GlückAuf,2022-03-05,,,,42,40,2.20,0.00
1,I,0xcac900a8f7614c7e8aebc65835466142e1c8b3625e8d389b660c54a0a75e6760,RS0000171,,GlückAuf,2022-03-05,,,,1,25,1.80,0.00
1,I,0x6693d01c177de39da6509c66200d7ce5587365cf07d8e952e7a6d1f8819ffcf4,RS0000149,,GlückAuf,2022-03-05,,,,11,19,7.80,0.00
1,I,0x58dec7407ec504c1ae7bcaa12e374116a1e40b0f3a6d8a0e5a037d9a74a9f43c,RS0000389,,GlückAuf,2022-03-05,,,,81,6,1.80,0.00
1,I,0x614749808d21193f33f11bd0da0e3459ea110a1b3f7f96cafc9b55d2adb9dfce,RS0000549,"38",GlückAuf,2022-03-05,"0000 2226 9513 1100",Nov 13,American Express,115,40,4.30,0.00
1,I,0xb01864c1587652fcaf6b906f8e3a54c5231f5ee76406075a403c636e839e14f2,RS0000332,,GlückAuf,2022-03-05,,,,91,9,1.00,0.00
1,I,0x1efc4bdf92e8cc863878bb4f4727147158213d7534db6c4a926db72a39927b1d,RS0000569,"260",GlückAuf,2022-03-05,"0000 3352 0604 1000",Aug 19,Mastercard,116,38,2.80,0.00
1,I,0x71e5a608e8725bad0a47a49990448f42a9389f439e097eda60449b6d3e024a66,RS0000427,,GlückAuf,2022-03-05,,,,120,15,7.80,0.00
1,I,0xd6a7f5de3d277f9517e01f9b51dae14b70c8a9b5f87d1e05c6ae976a6f682972,RS0000433,,GlückAuf,2022-03-05,,,,86,38,0.30,0.00
1,I,0x609573a7c0d7e7b4ac36f3cbbfbbe11e3c6bb3e63a166c981a3e412224cc2e5d,RS0000443,,GlückAuf,2022-03-05,,,,110,35,0.30,0.00
1,I,0x1612c5ecab4b902255dee342a8c96a01d2d61518685c7042f42540948ce11a0c,RS0000734,,GlückAuf,2022-03-05,"0000 1566 0603 0000",Okt 94,Mastercard,49,22,3.60,0.00
1,I,0x11ceecd41f9c115ae3c093642aabbbc8a493b80a1e5fd5f61e41e0793892b7c3,RS0000748,,GlückAuf,2022-03-05,"0000 3660 3501 3000",Nov 17,American Express,81,22,2.00,8.10
1,I,0xef7e2a214a712e42546c748a2a92476fc36f71d4dffb8abc7efd0c8fa7f0ddab,RS0000585,"345",GlückAuf,2022-03-05,"0800 0000 0905 7669",Mrz 21,VISA,124,9,3.00,12.40
1,I,0x27bbf673de2a101d3a4a6c89cba0291a77607af5c98b24c92a324584c1d14d0c,RS0000430,,GlückAuf,2022-03-05,,,,84,1,0.55,0.00
1,I,0x75f144d00d67e4be676e91c5733bf02ac0bf4916404d2d381d8ca046a29e03b4,RS0000366,,GlückAuf,2022-03-05,,,,67,11,3.30,0.00
1,I,0xf9a4f8e72fb68ae603821ad5f4c43a45814ce82bc04dd620767699d1215c5ebf,RS0000269,,GlückAuf,2022-03-05,,,,95,40,1.80,0.00
1,I,0x2f022f74a6578c71a889f33512b9839ded1f3c878fb8efa7052394bd7208887e,RS0000753,,GlückAuf,2022-03-05,"0000 2151 0500 1500",Dez 23,VISA,15,41,4.50,1.50
1,I,0x99af216dd1a7f89bc5a734a2f9f3f522c33c051f87de3d40ea676a1920a53498,RS0000749,,GlückAuf,2022-03-05,"0000 3660 3501 3000",Nov 17,American Express,34,2,0.55,0.00
1,I,0x8db4453b99210fa683a1ea35d58f542b20653b39d78165bf821ce5807870860b,RS0000509,"296",GlückAuf,2022-03-05,"0000 4658 5400 3500",Nov 23,Mastercard,78,40,1.80,0.00
1,I,0xd5395e201af5eb78ea611f7853f7d549a2920b79d8297bfe3c06921593b9f908,RS0000484,"78",GlückAuf,2022-03-05,"0000 6724 0501 1000",Nov 23,VISA,61,9,7.80,0.00
1,I,0x38470c7126b1e06494bc4ba2fd77af988bcf5b53f3d835d94369476ca3a7b4fe,RS0000494,"16",GlückAuf,2022-03-05,"0000 1551 1519 1900",Jan 23,Mastercard,29,4,1.30,0.00
1,I,0x1145db23ca521128c9f8f6ffb387edabc603e7f2bd8b4c4f477894d8e85e840c,RS0000850,,GlückAuf,2022-03-05,"0000 2367 0512 0300",Feb 97,VISA,56,42,7.00,5.60
1,I,0x263f19a51997153162423c10f28aeea847dbefc30feb894d9e70d42238231fb4,RS0000676,,GlückAuf,2022-03-05,"7625 5000 0467 5020",Jul 23,American Express,6,26,7.00,0.60
1,I,0xfdaa4c3c7387075937e69fe75e93a83922ac2b2df7b9f32eec40f3ea89f32189,RS0000854,,GlückAuf,2022-03-05,"0000 6336 0400 8500",Sep 89,Mastercard,17,26,3.30,0.00
1,I,0x6ac3dcd58dc4a4bd41cd47464a83c44eb2f7522931b275978d7c90922eee9b9c,RS0000489,"304",GlückAuf,2022-03-05,"6915 0000 0931 5450",Aug 23,VISA,54,23,4.80,0.00
1,I,0x01aaf3135acbed37e5a3ad55ba2ddf7295493f9a65449d5ce4f6ce315e9efd54,RS0000089,,GlückAuf,2022-03-05,,,,9,41,2.80,0.00
1,I,0xd2f46fed4158734864e172793b486a67053046f71c003269b12ee73aa18b09e6,RS0000751,"32",GlückAuf,2022-03-05,"0000 4170 0543 0600",Mai 99,VISA,62,35,4.00,6.20
1,I,0x815796ad22242f2c01623c4b951a0b5984165443684d390422926525095f2589,RS0000005,,GlückAuf,2022-03-05,,,,74,29,2.80,0.00
1,I,0xfc8e1d057bc96deabd237449114a686b75bfe8958473400a87159a2fb1c82411,RS0000277,,GlückAuf,2022-03-05,,,,35,18,0.80,0.00
1,I,0x05ea4c1ee437ee6ab47eb2ddbf3776d8bd02053bac1d01a63c527bcb53ed027f,RS0000085,,GlückAuf,2022-03-05,,,,76,41,3.80,0.00
1,I,0x55a139d26ad1d66a08607460814f05bad712ba483ccb45d34c020826ee8966d3,RS0000659,,GlückAuf,2022-03-05,"0000 6637 0800 4000",Jan 18,VISA,10,29,0.30,0.00
1,I,0x6b9f7b9d77cd861c25cb1c77b7e6d7a875fc1744442b6c3f5313d3565bfaf94f,RS0000669,,GlückAuf,2022-03-05,"0000 5830 0700 2400",Nov 13,American Express,107,49,7.80,0.00
1,I,0xba0178cd0640445c0d1e7f73f21daa193e736209f322b6432edbecd850ceab2f,RS0000678,,GlückAuf,2022-03-05,"0697 0700 0024 3758",Jul 19,Mastercard,45,6,2.00,4.50
1,I,0x99da65ab3878227ae0a549ecf30344987364c000b1b4e480e6ca9e9e903dff1b,RS0000405,,GlückAuf,2022-03-05,,,,71,11,3.80,0.00
1,I,0xc4c870334d6555f127e408f72e96fca7cf0415ecd364da388447242b1f4d84ab,RS0000765,,GlückAuf,2022-03-05,"2500 2000 0894 4120",Jan 16,VISA,73,22,3.00,7.30
1,I,0x1698628bf82c0628defd1c85579be9e8b1590ad4d24129dd86db7c073cda7ee8,RS0000833,"163",GlückAuf,2022-03-05,"0000 8784 0800 0000",Aug 23,Mastercard,81,31,2.00,8.10
1,I,0xf49b8aa27411c3d8a654ca95500c2547936ccb9d4d2a6b1cc2f0b4c8dd7d72d4,RS0000283,,GlückAuf,2022-03-05,,,,62,25,3.80,0.00
1,I,0x92395941355d6371b10649e382300178a891962a585c1c7bfcb43b433502f6d5,RS0000266,,GlückAuf,2022-03-05,,,,84,14,0.55,0.00
1,I,0x159fc85a9223b82143d9af805a54887e23884ef1fce8860ace5d0975ee04e3d0,RS0000519,"366",GlückAuf,2022-03-05,"0602 0800 0647 7772",Okt 92,Mastercard,54,44,4.80,0.00
1,I,0x85240724dd740987ca7cdc38d85337bb3cff5610ca682a286cc74eb57c6f6eca,RS0000554,"359",GlückAuf,2022-03-05,"0502 0100 0649 2687",Jan 96,VISA,89,21,0.60,0.00
1,I,0xbddf2f4d181269433fd915aa4a52c8b5389d7740ff21302cd7578991148d0ba4,RS0000758,,GlückAuf,2022-03-05,"0000 7547 2601 2100",Nov 14,American Express,82,48,5.00,8.20
1,I,0x6d1d8ac57314a0a1143ece5411899d98954712b91c168f3b9f674b86b27c44ef,RS0000839,,GlückAuf,2022-03-05,"0000 4075 0500 0000","09/00",Mastercard,36,3,0.30,0.00
