"sys_loadingid","sys_cdc","sys_checksum","kundeid","von","bis","strasse","hausnummer","adresszusatz","plz","ort","land"
1,I,0x950f3d8701356606388a5e8577d4e545534a0f2d1ef32233c58c725741025418,"294",2019-01-24,,Langenfelder Straße,"159",,"61352",Bad Homburg vor der Höhe,
1,I,0xe8a91738589603c730c1822236ef1ad2f1c7dab34202c60954ac740ba07dea08,"142",1992-07-24,1993-01-24,Am Altewingert,"119",,"28217",Bremen,
1,I,0x4d3ccf0b2fe014069e3b5f1c610f97f266d97725e3e83058cc620e11e51a414f,"16",1993-08-20,2001-11-02,Damiansweg,"61",,"12347",Britz,
1,I,0x4a7944663827fb707364cd58afe270c222ccca521942a8bdc146d25f2c84ded4,"24",2018-10-28,2019-10-29,Bonsfelder Straße,"177",,"57520",Molzhain,
1,I,0xb5049c91a72e9e8591107cb4253543289e392916231cfd8d6e2f109493e932e5,"191",1983-12-24,,Hembergener Straße,"18",,"64385",Reichelsheim,
1,I,0xbd9fca3bc50d1f2fdd5a40388aa4d27f64b02454b62164a870e19e2820793fbf,"108",1986-04-20,,Am Wulfkamp,"26",,"27243",Harpstedt,
1,I,0x4e436ceed364ea41e8a002e6574eeaaf164af020e677581bf0b16112af7166cf,"66",1970-02-09,2000-02-29,Rother Straße,"85",,"68753",Waghäusel,
1,I,0x12734550dfcb490dd470c3396e5344a2a74b951c5e7abf47d0f95d05f8952983,"19",1986-01-12,1987-01-08,Rauenberg,"178",,"45897",Gelsenkirchen,
1,I,0x8fc862f896e18111a2e3a25f8cbff3f18fec923c72ab8c2cfba7978df8c80a7d,"207",1978-08-11,,Im Springen,"102",,"66871",Ehweiler,
1,I,0xe1914e0fe35449d0b88f09572414a3bb7c7696e01c30e7aa5224660d6aca4a9b,"142",1993-01-25,,Heiligenweg,"59",,"67759",Reichsthal,
1,I,0x2e2440f92c69c594b177b20d4ae19335c354c3dd7345428479ba2ed93d815c21,"49",1978-03-12,2007-04-06,Lange Straße,"65",,"54552",Schönbach,
1,I,0xf59b4c20ca07e030a3d4579cd8e1b1132a8470ea25cf9e843f1a80cbeec8d097,"93",2002-07-08,2009-10-22,Südwall,"135",,"56337",Kadenbach,
1,I,0xd17e7573350d7a8f8b15df7cdf0d173e11b4ec465b1e0b2297f226e54df44e25,"47",2018-11-23,,In den Heilgärten,"59",,"27386",Bothel,
1,I,0x20827db9070e5b58fc142d5bd2cb0cbc23b383e33248a756aa9dd9850549e0d7,"282",1982-12-10,,Scherfeldstraße,"198",,"25582",Hohenaspe,
1,I,0x510ce89fe351e956c572b7f9f96d16bb7a95e4381ba59e0dc4f9acb75245a882,"271",2010-10-13,2018-03-22,Am Eichbaum,"48",,"21376",Garlstorf am Walde,
1,I,0xcd83bb45e6d88cb1756feea9c146d1f2267b692f4f3c6814ec7cf869f9236a22,"9",2008-07-23,2012-10-30,Im Winkel,"6",,"55606",Heimweiler,
1,I,0x11f958eebca0d363bd35e7d976a8716172459e1fc668f6e41e7bab236dd4c209,"137",2008-06-21,2008-12-17,Oberer Rainweg,"67",,"57635",Hasselbach,
1,I,0x89accb69fd8d5d54418cd82244dcd92ef6ca8e75a94dc38a4fdf82bc9065fc78,"95",1984-11-27,2019-11-09,Brentanostraße,"142",,"33161",Hövelhof,
1,I,0x73a34d46f3c4cf0ddb00d73a4c8964b303c5b2387138d8f86ddde8cd4fb6f31a,"289",1991-08-01,,Maarweg,"118",,"58239",Schwerte,
1,I,0x66716b2848c8ec98510c1fb46cce5f98307d65d27984337f3edbd8f48541a08f,"247",1991-02-24,,Breitscheider Straße,"94",,"24392",Boren,
1,I,0xde735d6e54efea0bb1502f1cbcacd79bd720e579bdbe65617eb2c8c3e2c1702b,"174",1984-11-09,1985-06-13,Tannenhof,"75",,"28832",Achim,
1,I,0x0dbb29f18befb014cb4cff7ef4f541ebb77206daaf8cece70f50e98c52986768,"143",1973-12-10,2003-02-27,Molziger Straße,"24",,"66787",Wadgassen,
1,I,0xdbebeb04c2a853af339a5c7211eef5c920d1bd560187c90ca6d797620e30da3b,"241",1977-03-08,1978-02-11,Vor der Steinert,"74",,"76776",Neuburg am Rhein,
1,I,0x2543fa0abe1748db9f55e3b6793cdf47a032e114d51864733dd60f9bee81c665,"157",2000-04-16,2019-03-14,Bülowstraße,"146",,"85135",Titting,
1,I,0xa533019144bcbac486f9c8ca1215deeb934c98c5d56dcdcfca623f14eafd7e86,"151",1992-02-05,,Bielefelder Straße,"108",,"97288",Theilheim,
1,I,0xe04075d5feee0518b714b9313ac3560dca744d13854ed537844ded6982582d12,"154",2005-02-17,,Laerstraße,"161",,"57648",Unnau,
1,I,0xad882742343001036a6e131e943221681952060bfdb832a6bbfb40fc73010e18,"262",1973-01-22,1989-07-15,Steubenstraße,"1",,"78054",Villingen-Schwenningen,
1,I,0xf920de75d7e23ae04a6b020f5d59a1df10da3e090fe90820d51066496d1e2cd2,"104",2020-05-02,2020-09-25,Im Gässchen,"107",,"71131",Oberjettingen,
1,I,0x2e9c1c959bb89e3a0c2918bafd9630a66b949cb2f50f582bfeee19c014163739,"28",1996-12-25,1997-12-30,Am Wulfkamp,"36",,"33102",Paderborn,
1,I,0x088d9b1ef28aaa5eb28a641a9c220ccd14957c3aff3d37f6d1c31d7afbe3e238,"108",1985-11-20,1986-04-19,Waldorfer Straße,"110",,"12105",Berlin,
1,I,0xa4447227d72b1a0c11a4158087f76dc38f22d032ccdb94c702dfbeae5475ed26,"42",1971-07-04,1972-07-22,Im Kappesgarten,"187",,"25923",Holm,
1,I,0x88a2905a0857b0e6c7450f214d16270efe321fad5cbd1b32b6fcca3e943a26e5,"176",1987-03-20,,Ob dem Lahrtal,"79",,"27729",Lübberstedt,
1,I,0x2afd767bf57daa81c19ff8175e0a54a05691d2b98f406540d559b38ed32215b0,"94",2019-09-19,2020-11-28,Richard-Strauß-Straße,"34",,"38889",Heimburg,
1,I,0x57819d55a07821abc34da392e7da28cd47b1b644e993714888be8baeee617f58,"242",2003-12-31,2004-10-10,Goldknopfgasse,"200",,"38539",Müden,
1,I,0x38750be356b1e72a761855e8448b7d818f8e61d3949c20d98bac57933e7fa851,"25",2002-07-10,2003-07-12,Soetenkamp,"52",,"67098",Bad Dürkheim an der Weinstraße,
1,I,0x5cc6f029e0ed7c94026f285332934558790b35550cc5c513bb07cb7469a3d606,"36",2018-02-04,,Rurstraße,"175",,"86934",Reichling,
1,I,0xd792782328fbf5e6f26c21504cfecaa53701b6926a7e4f2fad409b2abdfcb066,"66",2001-04-14,,Kellereistraße,"96",,"25578",Neuenbrook,
1,I,0xe97ace2b8e6597fb109d6649b65227e9c55c739f985c56456d11365a15a7fb71,"212",2001-09-12,,Greifswalder Straße,"23",,"76889",Birkenhördt,
1,I,0x87593d463f1688bb10dcdce326425b320da69e676663ee84fc4f0d9881045efd,"169",1976-10-27,,Im Kirschengarten,"50",,"79102",Freiburg,
1,I,0xb0b4658cc3387d3bc0217505b785c35d3e147dd8e97c5cb855e25c2173583a12,"107",1980-12-27,,Im Hagen,"80",,"23898",Duvensee,
1,I,0x10ab2c9536ac36272babba6e93f83b1ab6e508f7269c06bc20b6f672c4fbdf87,"138",2010-06-28,,Heiligenhausstraße,"124",,"54655",Kyllburg,
1,I,0xa4cefac0a3dd2c6684dd0251678eccf8f39d1a4fb809b7c2ab51a0202af1426c,"7",2005-01-19,,Auf dem Köllenhof,"190",,"93109",Wiesent,
1,I,0x4377c232b9108ccdf8cfb5c72da4a9a581ddcde2587e787076697296da125cf9,"82",2015-05-21,,Wiehagener Straße,"101",,"63872",Heimbuchenthal,
1,I,0x0eb5b95ab699056724e2a0632f57884b671c62911bf563ab39d02dbfeb2ed4b7,"175",1994-12-26,,Friedenstraße,"93",,"54614",Schönecken,
1,I,0xa23e673a57623144260dbdc33b639cc730c047efcf85afbba78a89dcd44c3a58,"141",2011-12-15,2012-06-15,Zum Kalkofen,"139",,"73571",Göggingen,
1,I,0x6496a36630a470557948f639b904bb7f07e35467a4fe9935b0afe081f53b2dbd,"66",2000-03-01,2001-04-13,Grundschötteler Straße,"139",,"55234",Wahlheim,
1,I,0xe9d7495476af29d345bed2e7af346f0bd28ccc3403fed5eff9cca39728637ac8,"249",1991-11-28,,Schweizertalstraße,"133",,"55490",Henau,
1,I,0xa376c871d3020cbf698a74c26b1f8660b7101d53b9aed8676618a5a2d6f51e5b,"213",1995-09-21,1996-06-02,Zur Jägerwiese,"67",,"76227",Karlsruhe,
1,I,0xb2544b282a4f31635571271345b61786277cc73bf01d574fc7337e25dd6d874a,"111",2013-09-02,2014-02-02,Tiefer Weg,"130",,"58840",Plettenberg,
1,I,0x21725966b6f80efedc018dec64fe37f4263bca2b7734c8a127c26024b270e4e7,"48",1974-08-04,2019-05-03,Sevelener Straße,"44",,"74206",Bad Wimpfen,
1,I,0x19e4a91ea86b4d907eab68c34008bf012b71e6c37d4ee8f643e03a903914f095,"296",1993-03-17,,Bebelstraße,"96",,"53520",Müllenbach,
1,I,0x020bf4e83b50ac0544c768a4d99ffc2c3d6a0fc82cf908c2fc9636ea3ed0b75d,"54",2015-05-10,2016-06-09,Ludwigstraße,"146",,"45468",Mülheim an der Ruhr,
1,I,0xbd5eb028ab79084f9e5d2f9cbfb2a8dcd4a184879fa5799d42c46bde7692e53a,"24",2016-07-30,2018-10-27,Deppengau,"173",,"56412",Niedererbach,
1,I,0x943e2e98abc56e2ec9a9f9f41be8978c8689d97a18ee7c7b9db39c863fbd4962,"276",2021-12-27,,Kupferkaute,"18",,"74249",Jagsthausen,
1,I,0x063c510746dd83f45a37c0812cb7436b359d3ad962b2b342c5ef398217a91bb4,"145",2020-07-30,2021-02-02,Moselstraße,"112",,"38274",Elbe,
1,I,0xcb1d70636c69dc2d3251bc6bd927ccb89f6b4658c0c0294dd90293256744232a,"83",1976-02-18,1999-06-02,Zum Felsen,"134",,"26446",Friedeburg,
1,I,0x9e11d5d07a44f57aceb441c14c0ff99f649947ae048f8ffdacec76a790a7b40d,"280",2016-03-27,,Sulmisheimer Weg,"25",,"26487",Neuschoo,
1,I,0xf7470989fb5cde64042d94eeba412f87753e09742885cee655f1a39d83803703,"119",1999-01-29,,Olmerich,"89",,"67473",Lindenberg,
1,I,0x7f2985a53476aa383a37002d7af465106ed98c1ce07820ef712e223d164bfa19,"8",2007-09-24,2008-09-08,Pastor-Sanders-Weg,"155",,"72589",Westerheim,
1,I,0x0c3d41b0d0c8037cb6db737b3601ff13cec064e05437e0526e23a443e0ec94d4,"288",1997-09-16,2011-05-11,Schiffahrter Damm,"17",,"54552",Darscheid,
1,I,0x3bfbfa6f89c6d8decfadf78d4883ce025b5edad73bc3f06b2e37a3fe22ebbf4c,"278",1995-02-02,,Auf Peschhelle,"115",,"53520",Wershofen,
1,I,0xaab11daf1097ce35fe2c5d121b47bcce59e964dcb9bf138f0fccb4172e32fab2,"63",1999-08-20,2016-11-28,Lenningser Straße,"162",,"87657",Görisried,
1,I,0x3567b606e66bb1268c395e9495cf8d9316be6f61d91da82159638fef0a264467,"91",1975-03-13,2017-12-30,Beulstraße,"171",,"54558",Strohn,
1,I,0xf43097a36414ffbf91f3ec996b6392b34d184d4737713a491bbfa66fcf33f9cd,"46",2001-05-09,2002-06-01,Große Fährgasse,"98",,"24635",Daldorf,
1,I,0x6124113ff38b02af4e0a89e792bf81f26cd73f42db660ce9efee6b550770f4e5,"184",2017-07-06,2018-02-17,Andreas-Bräm-Straße,"4",,"78098",Triberg,
1,I,0xb4addd24b65b595d3fa8b19ffebee04556dfe492ff77411953ec461756cc8f68,"59",2013-08-01,,Löwenburgweg,"144",,"57647",Enspel,
1,I,0x428e0c6b3e006bbcdccf447370cf8ac67206afff478211f24aa41d403d652390,"180",2019-06-24,,Alte Bahn,"145",,"9599",Freiberg,
1,I,0x5f223016f00f92556698d2f931f4a8fe0d067fb19f3ef7de77a38564ca338c77,"72",1984-07-14,2011-03-03,Delpstraße,"51",,"67749",Offenbach-Hundheim,
1,I,0xfeafd0e3af9c859429df7af6e752296d275c4448bf8a07967f37025835005b87,"77",1985-06-21,1986-05-03,Im Kirdorf,"55",,"23619",Zarpen,
1,I,0x3c4cc0407e980705829c77b18d4e038448d05d32ba131e410c02bcd8b1e96ffc,"41",1995-06-25,,In den Birken,"142",,"39606",Düsedau,
1,I,0xb3d93cdbb2fc16df26b632feb3246dfc295624bf17d0f72d29138dc8dd07979b,"2",1975-10-19,2017-01-21,Haulingort,"186",,"75446",Wiernsheim,
1,I,0x014e41576c57702b6a38b97006b4c5050d87c3c576df0a24b181478f67ed3f26,"229",2003-04-22,,Türmchenstraße,"167",,"42499",Hückeswagen,
1,I,0xb5fc388d1068879634b7b0fde70202ef662b461138ad61981bdd309ae9b33af8,"25",2003-07-13,2003-11-07,Johann-August-Ring,"6",,"86489",Deisenhausen,
1,I,0xc15248665f6dc6794a25956f16214f06871c762e74048c00d1f90f352b248f69,"124",1973-03-10,1983-04-26,Zum Müggenberg,"53",,"48619",Heek,
1,I,0x712361ecb6dfbe485ea4fbd83d5f53cda3eea1cd2e72808ab7d8a0eca602ad9e,"287",2014-07-06,,Erlengrund,"99",,"79102",Freiburg,
1,I,0xaa7833db3b8317a762f83b8d320592e0f289e42564807dc703030a85fe86d928,"49",2007-04-07,,Winkeln,"1",,"42283",Wuppertal,
1,I,0x1f4635116b11ab2d4f33fb928fab1404d6e0786fafbb11c0f9c64ed8a0e7b4d9,"68",1986-04-28,,Rothenberger Straße,"190",,"55413",Niederheimbach,
1,I,0x446584b5e3ef2b80c8a6960eae69f0ec9151a9184272f360ca31bc40d7477080,"121",2004-04-08,2016-07-21,Angermunder Straße,"38c",,"73104",Börtlingen,
1,I,0x64ab592076fd43e6e7f579e40672668c56a05cfc849d0064e9d4d864e2f7e848,"237",2017-08-09,,Haarstraße,"9",,"31868",Ottenstein,
1,I,0xfae008d9670957408d308a7532130af907754218a302e29f9eca9f9b1c0b567e,"23",2006-08-04,,Saynhofstraße,"149",,"24881",Nübel,
1,I,0xa2a3a13c132c2ad5abc801b6df6ff7a1a70c220916198b819e09c0e0ace86e4a,"249",1991-02-09,1991-11-27,Große Pützgasse,"40",,"97447",Frankenwinheim,
1,I,0xdbec80afe1e1c990c0fece0fec90c0bd775665d10239b1df0406996e524c8bf6,"192",2001-06-11,,Dieker Straße,"145",,"71093",Weil,
1,I,0x2cf5510498dcb1e6a26a6d76e1552b3305b87498519c4a86175d38fef846a110,"149",2008-11-27,2009-06-06,Polcher Straße,"48",,"50765",Köln,
1,I,0xda69c093ad88379cc9bc934a90a0d054729c6804594c301b5c02987f06490430,"209",2018-12-24,2019-09-01,Altendorfer Straße,"28",,"39606",Krevese,
1,I,0xa1254a74c1090e9e22f8fe0ffa7b1128df845d901e28407c3acc4907ac867aa9,"148",1992-01-04,,Dömerstiege,"186",,"72119",Ammerbuch,
1,I,0xb2c5d2ff7d9e4a2cf68332f4327dfa799694869af358f39d7c8f7364c592b64e,"221",1984-08-15,2019-07-21,Am Rheineck,"83",,"25785",Nordhastedt,
1,I,0x64c78c4a4e1dee665933229c9b79e8d7c20dcfcac9a20f862d114cbd3ea31aa7,"205",2017-04-05,,Neue Straße,"120",,"53757",Sankt Augustin,
1,I,0xe0d183f01cc5a7b46f73af8cd27ff9fb6c6d55d4efe4ee137f8cafce909ab8f7,"153",2007-03-14,,Afelskreuzstraße,"4",,"54675",Biesdorf,
1,I,0x03a6dde95578061b5fb91e8e43a057b9da9da242b66d36f0bc662fab1becfcaa,"47",1999-09-18,2017-10-28,Neue Reihe,"108",,"91477",Markt Bibart,
1,I,0x0540a9b0b8530e5b8c87920f076d6678214ea0382aef759a50438027eaf658dd,"36",2017-01-21,2018-02-03,Kiesgräble,"21",,"71579",Spiegelberg,
1,I,0xedebe903ba45227bce07f9428375f234457ada59d8acfc425e58c41574d7fd35,"14",1989-12-21,1990-12-12,Am Wasserstollen,"26",,"37077",Göttingen,
1,I,0x33aeedc12d22b72c9d631ad671bdff3a0e4943ee098698072896dbf4e1c33bde,"125",2008-06-16,,Im Unterdorf,"163",,"55294",Bodenheim,
1,I,0xc3ce6ed6d2700e5c0591670974a63a5f388bdb5d8dfb7a3de1ca6f1e2fbefad6,"22",2012-05-14,2014-04-23,Längenfeldweg,"4",,"53578",Windhagen,
1,I,0xdb1ed4cc68d76c245478a8b5574726c14a08c5ec03e4bf4bfbc3c641538e56a4,"288",2011-05-12,,Im Wickelfeld,"174",,"21516",Tramm,
1,I,0x1c228308c550a10332b557b5550bfdf7ee6a8d8eebbfb489adc34b0771087f90,"140",2002-03-13,2002-09-11,Kochstraße,"90",,"61350",Bad Homburg vor der Höhe,
1,I,0xe25000dbbcc9f58bd42d19ab4d5b5d7a0268d71b3f38ecad2528f69ada34c24d,"186",2004-10-02,,Frankenweg,"55 a",,"29584",Himbergen,
1,I,0xdf57ac6f51ffa713c3ff1a36772b4bf1e17210539f7527890ec6b3215710f9f3,"73",2021-09-11,2023-08-27,Huthsweg,"195",,"25899",Klixbüll,
1,I,0xf01a25a0deaaaa6381cfe2221282c3f33ea63839a4972d24a55ad85a29dafde5,"233",2014-10-01,,Am Eichbaum,"107",,"63150",Heusenstamm,
1,I,0xc07b37d703e5ba795b34e04998e6b2c0c34fb4c6ed27ae5b46e00122e8c0a45d,"274",1985-10-01,1989-12-25,An der Leye,"151",,"93155",Hemau,
1,I,0x07845b8e7454c67e0e4552f6844b45d7a9d89dfc15174b91dce6e14ca6888ef8,"1",1999-03-19,2020-11-03,Hohes Feld,"113",,"96358",Teuschnitz,
1,I,0xecb7ec5449586cfc86132a320a0686c71fe96f75bce86a1a1a634e0c4f395bf3,"20",2007-05-01,2008-04-27,Kattowitzer Straße,"163",,"55413",Niederheimbach,
1,I,0xda51d182046eb03e0f55bfac8131dab957952ee447586f1f37bca8ccb0236d5f,"293",1984-10-21,1985-09-21,Linzhausenstraße,"192",,"38547",Calberlah,
1,I,0xc4c418aa8ac8a63d4b44b3a52a7bebf0b002387c4fab2a5720fd36e2b7101985,"198",1977-03-16,2005-09-12,Klotzbahn,"115",,"29468",Bergen an der Dumme,
1,I,0x1a849d45be776c06e8f894e86fd756d86b6e1a931e60e3c0aa075703b3053dfe,"89",2011-06-17,2012-08-21,Mengerskircher Weg,"6",,"25582",Looft,
1,I,0x0348b137221cee54406561c2f4232a42d37b471c26ada95a4832835f85bce876,"1",2020-11-04,,Hohenrother Straße,"13",,"91126",Kammerstein,
1,I,0x91d34a748f0008ac76942ae7d1b4e84c6df20108252df4289531cc4969aab078,"163",1998-01-05,,Bornstraße,"59",,"54597",Wallersheim,
1,I,0x53d06afb31a26dc2e3de862d135f7325a730e6b5aaf26f1f62d2438d49fe1859,"43",1989-10-10,2001-12-16,Ahbachstraße,"96",,"26897",Hilkenbrook,
1,I,0xe0efd92f9b6032466cba7f35323b94800a9bf349c99f7c6c1c0edf7ff4c856d9,"229",1972-10-01,2003-04-21,Provinzialstraße,"96",,"37619",Bodenwerder,
1,I,0xc2639d1fde410f03e21927c46a6c26be8132288ed9ead4f8843895690b3fc2e2,"115",1976-02-11,2018-02-09,Im Lag,"102",,"38159",Vechelde,
1,I,0x4d88ca909d022417b5fd0d4e4acdbdda1ca17f78418c6f6bd82854ef543df352,"251",2015-12-27,,Am Nußberg,"33",,"56348",Dahlheim,
1,I,0xdc053731c9ec21b64918bda100e7cd313a528762404a19b318e4137e175bfe9d,"187",1992-05-04,,Becklingen,"154 b",,"55490",Gemünden,
1,I,0x403fe5f28f360d773017c4dc94bca33ef6d039a0655c68fd5a4e5cbc3a7f9fb9,"102",1991-04-25,1991-09-16,Reeperbahn,"152",,"31195",Lamspringe,
1,I,0xb2eab4c80d11ff01fd7d363ea5c659005e7228192921522b74363c27c894f912,"26",2007-01-13,2012-03-14,Wehrer Straße,"43",,"65385",Rüdesheim am Rhein,
1,I,0xcb696c31903b38055337b40a2626ba2cc113ed68ae093f39e47108ea294ee81d,"230",2014-01-01,,Sieglarer Straße,"76",,"78357",Mühlingen,
1,I,0x5235121bc8fa5cffaece0d8eb926def6cbb32e54bf8bf5a20b0fa973970e99ec,"106",1984-04-04,,Kurfürstenwiese,"151",,"57076",Siegen,
1,I,0x6bd0b65a72565b6e83f02b1fb8b0c3066384d1cf4fb5e9473130841706a35d7c,"4",1994-09-08,2003-02-07,Stauffenbergring,"143",,"25920",Stedesand,
1,I,0xa6ff92cf430fa4ae1f7cc1f8a280c1ff018959cc58cf6021b916954156aaa4ba,"156",2001-12-15,2002-07-01,Im Rötchen,"61",,"74523",Sulzdorf,
1,I,0x3a025e4b0fe8ca79b643ff35e8315e83f2af2e09da26c77e7b6443089dfed57d,"94",2022-12-06,,Neuland,"193",,"56858",Neef,
1,I,0x20ed24a6526d2886865ccb3e0e84b1ed3b277baa7fd796496e15a7ded334fcfb,"40",2007-09-03,2009-07-16,Leyler Weg,"17",,"53520",Wershofen,
1,I,0xb77c8262aad890282765a7fb19ebccbc76496e07980695353a0c9043fda57af6,"158",2017-12-27,,Oberer Buigenweg,"114",,"78576",Emmingen-Liptingen,
1,I,0xf3e14ea0f11c7f927261f97737c31836210274837634bdcee5d0116c03de6c65,"278",1994-03-18,1995-02-01,Wassenacher Straße,"87",,"45131",Essen,
1,I,0x1eeb8b51f4aa868dbaf2a5326d4f8cf13ba5690a0f586380bfc16e7c71d5c072,"283",1986-02-10,2000-02-19,Am Weiher,"102",,"54578",Walsdorf,
1,I,0x577e8cbd1c3c5a41c4ec78a19a22888b375dcebc975cd4955c3f450921fd2165,"39",1981-11-25,1982-12-11,Gladbecker Straße,"84",,"27798",Hude,
1,I,0x9ddd6f1b4dab46a9bc6c84f99c8050709f56ff211d383b21762bcb68174e88b7,"279",2009-08-08,2010-06-25,Heidgasse,"31",,"53539",Reimerath,
1,I,0x39f89dae2f99764476dc665aab309070336c642ba19fcaa74cc4bbd02ad73479,"20",2014-08-10,,Schwanenkamp,"197",,"45130",Essen,
1,I,0x528357fea3ccc30619d7a5e99de8d4d81fb1276216773e0055e21eb4d50ac7ad,"58",2018-03-28,,Weltersbachstraße,"8",,"25569",Kremperheide,
1,I,0xd5b5a992aafb45473494fda535fd4b84a588cb9da3e37b87971dfe43b4b0cb69,"107",1980-07-30,1980-12-26,Jerichostraße,"68",,"70193",Stuttgart,
1,I,0x1bd30a6c6e34e2d54373ca128cc10caadefc4d54e893b9d6e892f93dd14f1bde,"21",1997-07-08,,Orchideenstraße,"32",,"75331",Engelsbrand,
1,I,0x07462c632524fce471528294e5521a95a303870b0b667133c709bac1d46f5649,"170",2010-09-02,,Heltengarten,"137",,"94099",Ruhstorf an der Rott,
1,I,0xf2d1f0d6c4e3cd352eaf55d1f675878aa9e20e7e8bfd50736689c0deef4ee278,"31",1974-08-10,1987-04-27,In der Bitz,"32",,"63924",Kleinheubach,
1,I,0xe435c19e0b8805a082aaddbc0fab9840777ae3c164dd9da3c00ed564e0eb330e,"280",2006-11-14,2016-03-26,Nikolaus-Groß-Straße,"43",,"31600",Uchte,
1,I,0xc4122ad62f5c7fd5de907b997603f42988647bea40575c7369210ed18f2f168a,"136",2008-11-14,,Saynwaldstraße,"90",,"55481",Schwarzen,
1,I,0x4e4e8cafe6a8fdffe0761d15dc95e7babbdefc4b68329921fde95ef2ef205d3f,"53",2018-08-05,,Am Kanal,"57",,"84552",Geratskirchen,
1,I,0x311fe60b73e429494781acbba3c4d43a4c87035c11422d31a5a18b9379c3befc,"197",2015-07-08,,In den Wulferten,"107",,"56340",Osterspai,
1,I,0x0c3be51c51543d7859e4a90c027693c02833cdda5cc76db3e593d880736b579d,"57",1984-09-12,,Mühlweg,"133",,"29581",Gerdau,
1,I,0x0e02618b522b40bc3ea0e2944611b89748e00704c9b95d9788405b2763b9bf46,"110",2008-03-06,2008-08-05,Am Struckey,"100",,"57612",Helmeroth,
1,I,0xcd4bcacadfa95e41851e3d3a9d511bcac50b53da7aaca1343c33850f40e81f4f,"65",2019-06-10,2020-07-21,Niederberger Straße,"80",,"48324",Sendenhorst,
1,I,0x93fab15c1eabfe45e5de10de3d3a9055bb207fb66a014632ed02627d7bf84429,"56",1998-07-20,,Schniewindstraße,"64",,"76287",Rheinstetten,
1,I,0xfc54091da9654a3956a44b570be0a3ddcb15d12c955c76eafc6228a2edbc52fa,"183",1999-04-13,,Marktgasse,"3",,"76887",Böllenborn,
1,I,0x06ab528c24ac6d5902e1059edccb0de0217bc0afd42a420a79830a5cc298938b,"13",1985-05-05,1986-04-25,Sommerkamp,"72",,"56299",Ochtendung,
1,I,0x7c7f113158f55d4cecdad167af2d639c5664e93e21158285d83e36e6f493852c,"297",1979-06-26,1991-08-07,Hälverstraße,"181",,"93164",Brunn,
1,I,0xe72b0158e6f202e968079d7d03590f704fc0aff22e3e6cc6078b54fc9d8427d0,"15",1993-04-13,,Kastellauner Straße,"124 c",,"16225",Eberswalde,
